"V1","V2","V3","V4","V5","V6","V7","V8"
"16002","4","5","12","18","24","27","14"
"16003","6","8","13","19","26","26","7"
"16004","8","17","20","25","27","30","9"
"16005","7","7","14","23","25","31","10"
"16006","8","16","17","20","25","27","6"
"16007","8","8","11","20","24","28","7"
"16008","5","7","12","18","20","27","9"
"16009","2","5","14","19","26","30","10"
"16010","4","13","13","20","22","25","8"
"16011","2","12","16","22","27","33","9"
"16012","5","10","14","16","19","22","10"
"16013","6","10","11","20","28","30","5"
"16014","11","11","14","19","25","31","8"
"16015","5","9","20","25","26","30","5"
"16016","4","6","13","15","26","28","11"
"16017","3","5","6","17","25","25","3"
"16018","3","6","8","16","18","30","11"
"16019","6","11","17","19","26","30","8"
"16020","1","8","8","21","25","29","1"
"16021","9","13","14","20","22","31","10"
"16022","3","7","15","21","24","31","9"
"16023","3","7","15","23","28","30","6"
"16024","6","7","13","19","29","30","8"
"16025","8","14","15","21","25","29","7"
"16026","6","9","13","20","25","28","10"
"16027","4","9","11","21","22","32","5"
"16028","2","8","8","15","15","22","8"
"16029","5","8","13","20","27","32","7"
"16030","5","7","12","18","22","26","10"
"16031","10","18","20","22","24","30","15"
"16032","5","14","15","18","24","26","8"
"16033","0","7","8","12","17","28","5"
"16034","6","14","17","20","27","30","6"
"16035","3","4","8","19","27","29","5"
"16036","0","6","13","19","25","30","10"
"16037","5","12","14","18","21","25","10"
"16038","5","9","17","18","22","29","10"
"16039","2","10","14","20","25","30","6"
"16040","4","11","13","19","24","26","7"
"16041","9","13","15","20","28","33","7"
"16042","6","12","18","26","29","29","8"
"16043","6","11","15","18","27","30","8"
"16044","6","15","22","23","26","27","5"
"16045","3","11","14","20","23","26","9"
"16046","6","6","15","20","26","27","7"
"16047","3","10","11","17","23","27","7"
"16048","4","7","15","20","22","25","10"
"16049","1","10","10","23","26","26","10"
"16050","8","12","15","21","23","27","5"
"16051","3","8","16","20","28","28","8"
"16052","3","4","5","10","21","30","15"
"16053","10","13","17","20","26","32","12"
