"n","a1","a2","a3","a4","a5","a6","b1"
18002,8,10,12,19,26,30,7
18003,6,11,18,20,22,29,9
18004,4,7,18,22,27,28,4
18005,6,9,15,17,24,30,7
18006,6,7,15,20,23,29,5
18007,1,7,8,16,24,26,9
18008,4,11,12,13,21,30,7
18009,5,6,13,18,24,31,9
18010,4,6,14,17,27,28,4
18011,6,13,16,22,27,31,4
18012,3,8,10,18,23,28,6
18013,3,6,15,17,23,28,12
18014,3,10,12,21,28,31,6
18015,1,5,12,17,20,26,12
18016,5,8,14,21,22,26,6
18017,3,4,7,8,12,23,10
18018,7,8,12,22,23,32,10
18019,3,7,9,10,18,23,6
18020,6,9,16,21,22,29,2
18021,8,13,16,17,24,29,6
18022,2,15,18,20,24,29,9
18023,5,12,12,22,27,31,8
18024,4,8,14,19,23,28,10
18025,8,12,20,22,26,33,6
18026,2,10,15,16,23,30,3
18027,5,7,12,22,25,30,7
18028,5,8,18,21,24,32,5
18029,4,11,12,16,21,27,7
18030,4,11,13,19,20,26,11
18031,7,16,19,23,25,31,6
18032,8,8,9,18,25,31,6
18033,7,9,13,23,24,30,7
18034,4,14,16,20,24,31,7
18035,8,11,13,18,26,29,7
18036,6,15,16,20,21,23,11
18037,5,11,16,20,23,24,6
18038,3,11,16,19,24,31,7
18039,6,8,11,15,21,24,11
18040,4,11,18,21,22,28,8
18041,7,11,18,19,22,28,12
18042,4,6,14,18,18,27,10
18043,5,8,10,17,25,33,14
18044,6,9,20,21,27,33,13
18045,4,8,9,20,27,31,9
18046,3,11,14,17,22,31,8
18047,5,11,15,19,25,30,5
18048,4,9,16,21,31,31,6
18049,1,12,19,21,29,30,7
18050,2,6,9,19,26,28,7
18051,7,13,14,18,27,32,8
18052,5,14,16,21,25,28,12
18053,5,10,14,18,23,28,8
18054,5,10,16,22,28,33,4
18055,8,11,15,20,26,26,9
18056,4,9,12,20,26,29,9
18057,6,7,7,18,23,25,10
18058,3,6,16,18,21,30,2
18059,6,16,18,20,26,28,8
18060,4,9,14,24,24,31,15
18061,5,6,11,22,25,28,10
18062,2,9,15,19,26,30,15
18063,7,8,8,14,22,23,11
18064,5,7,9,14,24,25,8
18065,7,7,11,19,24,28,10
18066,7,14,17,22,25,29,9
18067,1,8,12,18,26,30,14
18068,6,6,13,19,22,27,6
18069,3,11,15,19,23,28,5
18070,6,7,9,13,22,28,12
18071,6,10,14,17,25,30,11
18072,3,6,10,14,21,25,10
18073,7,7,10,14,19,24,5
18074,8,9,12,17,20,26,12
18075,7,14,16,19,28,31,10
18076,5,15,18,23,24,28,8
18077,5,12,14,20,23,28,8
18078,5,6,12,20,20,27,10
18079,8,10,17,21,23,29,13
18080,8,10,10,20,28,30,6
18081,9,12,16,22,27,31,12
18082,5,12,16,22,24,32,9
18083,6,14,14,22,28,28,9
18084,6,11,17,20,20,25,11
18085,8,12,15,19,26,29,8
18086,8,9,17,23,26,26,10
18087,1,15,15,23,27,29,10
18088,5,12,18,20,25,31,10
18089,6,13,14,17,19,25,12
18090,2,10,16,16,23,32,10
18091,3,7,12,18,25,29,8
18092,3,12,17,21,25,30,9
18093,7,9,11,20,22,27,10
18094,5,9,12,24,31,32,7
18095,6,11,13,16,26,31,7
18096,6,7,15,19,22,29,12
