"n","a1","a2","a3","a4","a5","a6","b1"
21002,6,10,14,22,28,30,7
21003,6,7,9,20,22,30,2
21004,7,9,14,21,28,30,9
21005,5,11,16,23,25,29,5
21006,3,11,12,18,20,26,9
21007,4,9,14,21,21,31,9
21008,8,9,13,16,23,25,5
21009,2,12,13,15,26,27,6
21010,4,14,18,20,26,29,10
21011,5,7,15,17,20,28,11
21012,5,13,14,17,23,31,6
21013,6,9,12,24,27,29,3
21014,4,8,17,22,23,30,6
21015,3,8,9,19,23,28,4
21016,6,8,11,19,27,30,10
21017,4,11,12,18,26,30,10
21018,1,8,9,15,18,20,9
21019,4,8,16,20,26,27,9
21020,1,8,16,19,22,32,3
21021,1,12,18,19,24,31,9
21022,4,10,13,16,27,29,5
21023,5,5,15,19,20,31,13
21024,5,8,16,16,20,27,7
21025,5,9,12,22,29,30,14
21026,6,10,16,18,27,31,9
21027,5,11,14,21,27,29,10
21028,8,8,15,20,25,29,10
21029,2,13,14,17,23,25,13
21030,1,12,15,18,20,26,5
21031,4,8,16,16,25,26,8
21032,6,11,17,22,28,29,7
21033,4,7,15,23,25,30,12
21034,4,10,15,22,22,30,4
21035,5,9,14,19,26,31,6
21036,5,9,20,21,25,28,11
21037,1,10,11,18,24,26,8
21038,2,9,13,14,27,29,10
21039,4,4,17,19,25,30,10
21040,9,10,13,22,25,30,5
21041,3,8,15,17,21,29,4
21042,6,13,17,17,26,31,8
21043,1,6,17,18,24,31,6
21044,3,7,17,19,22,23,14
21045,4,9,12,23,23,29,13
21046,7,8,15,18,25,32,7
21047,4,7,14,17,22,31,12
21048,5,6,14,19,20,28,10
21049,4,7,14,21,27,27,9
21050,7,13,13,18,24,29,10
21051,2,11,20,23,24,28,7
21052,3,7,11,18,27,30,7
21053,4,8,13,15,21,31,10
21054,4,8,11,18,23,31,6
21055,5,6,12,17,21,28,8
21056,4,9,13,20,25,27,5
21057,7,7,16,23,24,30,9
21058,5,7,13,14,22,29,9
21059,4,9,9,18,23,29,5
21060,8,13,16,19,19,27,10
21061,2,7,11,21,21,29,7
21062,5,11,14,21,27,30,12
21063,4,12,14,21,24,26,12
21064,1,8,13,16,25,25,5
21065,5,9,16,21,25,31,4
21066,3,8,12,19,28,29,4
21067,5,11,14,19,26,30,6
21068,3,4,11,18,21,22,6
