"n","a1","a2","a3","a4","a5","a6","b1"
10034,7,13,21,25,27,34,6
10035,5,11,13,18,29,30,16
10036,1,8,13,20,23,31,4
10037,5,10,13,15,26,29,7
10038,6,13,16,21,22,24,7
10039,4,8,14,15,19,30,10
10040,7,13,14,21,21,29,10
10041,4,10,19,20,23,29,8
10042,2,10,12,15,24,29,8
10043,4,11,19,24,26,27,6
10044,3,9,13,18,25,28,5
10045,4,10,11,16,17,29,13
10046,5,7,10,19,22,27,12
10047,7,14,18,21,22,27,7
10048,4,13,18,25,28,29,7
10049,2,10,15,18,21,28,6
10050,6,8,15,17,19,21,9
10051,8,12,16,23,29,31,6
10052,2,8,8,14,19,27,12
10053,5,12,13,19,22,31,12
10054,4,5,14,14,18,23,8
10055,6,10,14,17,22,28,10
10056,4,12,14,24,25,28,11
10057,4,8,12,21,23,29,6
10058,6,12,19,19,25,30,7
10059,6,8,10,19,25,31,5
10060,4,7,7,18,26,29,7
10061,4,8,16,21,28,32,10
10062,3,5,11,21,27,31,13
10063,4,17,21,25,27,28,9
10064,8,9,16,22,24,31,13
10065,3,8,15,19,22,28,4
10066,6,9,15,21,26,30,9
10067,4,7,11,12,13,24,4
10068,4,17,21,24,27,29,6
10069,4,11,12,21,23,27,9
10070,4,10,14,20,26,30,4
10071,5,8,14,20,22,30,7
10072,12,15,18,20,24,29,13
10073,7,11,15,17,22,31,7
10074,6,10,17,25,26,28,7
10075,4,12,13,13,18,25,8
10076,5,15,15,20,28,28,11
10077,4,12,17,20,24,29,6
10078,6,11,17,17,25,27,8
10079,3,7,9,17,26,28,5
10080,3,10,15,21,28,32,8
10081,5,12,15,19,25,26,4
10082,2,8,11,18,24,28,5
10083,1,6,13,24,25,26,12
10084,6,9,14,24,25,30,8
10085,4,4,13,16,17,24,10
10086,6,9,14,22,25,29,8
10087,5,11,17,18,18,27,6
10088,3,7,12,19,23,29,11
10089,8,12,14,21,26,28,7
10090,6,9,12,18,22,32,11
10091,1,6,14,23,24,28,11
10092,8,11,17,17,24,29,11
10093,8,11,14,19,23,28,14
10094,4,9,9,13,24,32,11
10095,3,8,10,14,19,26,6
10096,7,11,16,20,27,29,5
10097,3,6,19,22,23,25,9
10098,7,10,10,16,22,27,8
10099,7,9,10,20,21,22,8
10100,6,9,18,24,27,31,2
10101,5,8,15,17,20,29,4
10102,6,8,16,21,21,24,9
10103,3,14,14,21,25,27,5
10104,8,14,21,28,30,31,6
10105,5,6,16,20,21,27,10
10106,5,13,15,17,21,27,7
10107,4,13,15,20,24,28,4
10108,4,7,13,24,26,32,12
10109,5,10,19,23,32,32,8
10110,3,14,14,23,25,28,4
10111,1,8,13,22,25,27,4
10112,3,8,11,19,19,25,8
10113,5,9,16,20,27,31,9
10114,6,14,22,26,28,29,4
10115,4,10,15,21,25,27,12
10116,3,8,10,16,22,26,5
10117,4,5,15,21,24,30,9
10118,8,9,12,18,21,31,15
10119,5,12,18,22,27,29,8
10120,4,9,14,20,27,28,7
10121,6,11,17,18,25,26,10
10122,4,9,13,19,26,26,9
10123,5,11,17,21,24,30,6
10124,5,6,12,18,27,28,10
10125,4,7,16,16,20,29,8
10126,6,8,12,18,25,28,11
10127,8,9,17,20,22,28,12
10128,2,14,18,18,23,30,10
10129,3,8,13,17,23,33,10
10130,2,9,12,20,23,31,10
10131,1,5,10,17,22,28,9
10132,5,12,19,23,26,28,9
10133,6,7,17,22,22,23,11
10134,4,6,14,20,26,34,7
10135,4,8,14,15,20,33,8
10136,8,8,13,20,23,31,10
10137,6,14,15,24,26,29,6
10138,1,7,10,18,23,27,9
10139,8,9,14,23,25,28,10
10140,6,8,18,18,24,29,9
10141,3,11,19,24,25,30,14
10142,3,7,15,22,24,30,13
10143,9,12,17,28,30,30,5
10144,4,5,15,23,26,27,8
10145,3,6,15,17,24,26,11
10146,6,6,10,14,20,29,9
10147,4,9,13,19,20,28,9
10148,5,9,16,25,25,31,6
10149,6,13,18,20,23,26,5
10150,5,10,13,14,23,27,3
10151,2,4,4,14,21,30,11
10152,4,7,13,18,23,30,10
10153,4,7,14,20,26,28,4
10154,6,11,15,27,32,32,7
11002,3,4,9,17,22,30,10
11003,6,14,17,21,26,31,1
11004,5,17,20,25,30,30,5
11005,6,9,15,21,25,28,9
11006,3,9,16,20,24,31,6
11007,2,5,14,20,24,28,12
11008,5,10,20,21,25,28,4
11009,4,10,19,25,33,34,7
11010,7,9,13,18,20,27,5
11011,7,9,13,16,25,28,7
11012,2,6,8,17,23,28,5
11013,2,6,14,18,22,28,9
11014,7,17,18,25,30,31,7
11015,2,5,12,14,19,24,14
11016,6,13,15,23,24,26,13
11017,2,6,12,17,20,29,11
11018,3,7,9,16,23,23,11
11019,2,7,14,19,27,28,12
11020,4,7,7,9,18,29,6
11021,6,7,12,18,26,29,2
11022,4,11,15,20,26,30,8
11023,5,14,17,20,20,27,10
11024,2,5,6,14,19,22,7
11025,7,14,19,23,23,31,7
11026,11,15,19,22,23,29,8
11027,3,10,14,18,27,29,6
11028,4,5,6,12,23,29,6
11029,2,4,10,22,27,29,5
11030,1,15,16,26,27,28,5
11031,5,9,14,22,25,29,12
