"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"18014","4","2","4","4","3","3","3","5","1","5","7","7","5","7","7","6","15","6","10","7","8","15","14","8","11","14","15","15","16","11","15","17","19","15","19","15","24","21","24","13","24","22","22","24","22","26","24","22","25","21","30","23","28","30","28","32","27","28","31","27","9","6","7","9","9","8","10","6","5","8"
"18015","7","10","6","7","3","7","5","3","5","4","13","11","7","13","6","10","6","11","11","7","14","17","16","14","14","20","17","17","16","12","17","23","22","17","16","22","21","21","17","23","22","27","26","22","22","27","28","22","22","26","23","28","30","23","29","30","30","29","30","27","11","8","5","11","11","11","10","7","10","8"
"18016","10","7","9","0","5","2","4","5","1","5","11","12","11","5","10","13","6","7","7","6","11","13","14","15","17","17","10","16","12","10","20","16","22","24","21","22","22","19","21","18","24","29","22","24","26","23","25","19","29","22","30","31","32","27","27","28","26","29","29","29","8","7","12","10","7","13","11","4","4","12"
"18017","5","2","6","5","6","3","5","4","8","4","9","7","6","9","7","8","7","10","13","8","13","8","12","13","14","10","10","16","15","10","18","19","17","18","18","15","25","17","16","21","25","20","18","25","24","25","28","25","24","22","27","23","32","27","26","29","29","30","25","28","6","12","6","6","13","11","8","6","4","7"
"18018","5","1","4","5","3","3","4","2","5","3","9","12","8","9","12","14","14","11","9","11","10","13","12","10","13","16","18","17","14","14","18","21","18","18","17","18","21","19","20","15","25","27","24","25","22","22","25","25","25","22","28","29","24","28","31","24","27","26","30","26","12","9","9","12","6","8","12","7","8","7"
"18019","8","2","6","8","9","5","4","4","6","8","15","7","8","15","14","9","12","9","9","8","16","10","11","16","15","12","18","10","15","15","25","13","20","25","20","16","19","24","19","20","27","25","26","27","27","26","24","25","23","28","30","34","29","30","30","28","29","28","31","32","10","3","5","10","9","9","10","6","11","12"
"18020","3","4","2","7","3","5","4","1","5","3","6","6","7","7","6","11","12","9","7","7","14","9","10","14","11","13","16","15","16","12","16","16","15","17","19","20","22","18","19","17","20","23","31","22","25","27","25","25","25","20","27","27","31","24","29","29","32","32","27","26","7","10","15","9","6","10","11","7","3","10"
"18021","7","6","8","3","1","5","2","9","4","5","11","14","9","9","9","5","13","10","10","7","15","16","13","16","14","13","15","15","11","14","16","22","19","21","18","23","19","18","20","18","23","26","29","24","25","24","24","28","21","25","32","32","30","30","27","28","30","30","21","27","5","6","10","5","4","9","10","9","7","5"
"18022","3","2","3","3","4","3","4","7","2","5","9","9","6","9","11","14","15","10","9","7","16","12","14","19","15","17","15","11","11","11","21","15","19","19","27","19","28","14","20","17","24","20","27","23","28","21","29","23","22","19","34","31","30","26","28","28","31","27","34","28","5","6","11","9","8","6","13","15","8","9"
"18023","4","4","3","2","5","2","6","7","3","2","7","11","6","11","10","7","10","7","9","8","11","12","11","12","15","18","12","15","15","18","16","19","18","17","18","18","18","17","18","22","29","26","24","27","24","24","25","26","25","27","29","28","26","29","31","27","28","30","29","27","2","11","3","8","11","1","7","8","7","7"
"18024","2","5","3","5","4","6","6","5","3","4","9","7","14","9","10","12","9","12","12","9","13","13","18","14","18","22","14","14","17","14","18","16","19","23","20","24","18","17","20","17","23","24","26","27","20","26","25","29","24","24","27","30","29","30","32","30","29","32","26","26","13","4","9","9","7","9","9","7","4","4"
