"n","a1","a2","a3","a4","a5","a6","b1"
13002,5,7,11,13,23,29,4
13003,4,14,18,22,26,29,14
13004,4,6,20,24,25,28,14
13005,5,7,14,17,18,28,7
13006,2,13,15,22,28,29,10
13007,5,17,21,28,29,32,6
13008,6,8,10,17,22,30,12
13009,4,13,14,19,20,30,3
13010,9,12,14,18,19,31,11
13011,7,11,16,20,21,31,9
13012,3,6,11,13,21,29,8
13013,1,8,13,18,26,28,15
13014,2,10,13,15,22,26,12
13015,7,12,15,20,25,30,10
13016,2,8,14,19,22,27,10
13017,3,9,11,20,24,28,9
13018,2,6,11,20,21,28,5
13019,3,12,16,20,20,29,3
13020,8,10,16,27,29,29,9
13021,8,12,13,21,25,29,11
13022,3,7,12,19,26,29,5
13023,2,7,10,18,18,25,6
13024,2,12,23,25,27,32,9
13025,3,7,13,23,27,32,12
13026,2,5,15,19,22,27,8
13027,9,10,12,22,23,32,11
13028,8,11,17,19,28,29,7
13029,5,8,16,21,25,26,8
13030,4,11,11,20,29,31,13
13031,4,17,17,19,26,30,6
13032,10,17,18,22,31,31,11
13033,6,7,14,25,31,33,11
13034,8,8,15,23,28,30,7
13035,2,7,12,18,19,29,10
13036,3,8,16,20,26,27,5
13037,6,13,17,21,26,32,2
13038,9,11,14,24,27,31,10
13039,6,10,15,23,26,29,13
13040,5,9,13,24,24,28,4
13041,5,5,10,21,24,28,2
13042,3,6,7,17,24,28,8
13043,7,10,16,23,26,32,8
13044,3,6,11,19,25,28,8
13045,1,10,18,27,27,28,8
13046,2,9,16,18,20,30,8
13047,3,11,13,17,23,30,7
13048,5,10,13,19,26,30,13
13049,2,7,8,9,17,22,2
13050,6,9,16,17,26,30,4
13051,7,11,15,20,23,30,11
13052,2,6,7,10,16,24,11
13053,5,11,14,19,26,29,12
13054,3,9,13,19,28,31,11
13055,8,13,21,23,25,32,8
13056,9,15,19,25,25,31,7
13057,3,6,11,20,26,30,11
13058,3,8,14,23,25,28,13
13059,4,7,12,21,25,31,14
13060,1,5,10,18,24,26,4
13061,8,12,13,23,25,29,6
13062,6,10,14,22,25,32,7
13063,6,12,12,14,17,27,8
13064,5,14,18,23,26,29,12
13065,3,9,11,16,20,27,13
13066,2,4,12,20,23,28,9
13067,3,14,15,23,24,30,10
13068,5,7,13,16,19,25,14
13069,4,9,12,14,19,29,7
13070,8,9,16,20,23,29,4
13071,4,9,14,20,23,29,5
13072,6,10,13,19,27,31,8
13073,3,9,13,15,23,26,4
13074,4,8,19,23,23,29,12
13075,3,5,12,19,24,28,9
13076,6,8,10,12,24,30,6
13077,3,8,15,18,19,27,5
13078,3,8,8,15,24,27,8
13079,3,13,17,21,26,31,9
13080,4,10,11,18,23,29,6
13081,4,8,15,18,26,30,8
13082,8,16,16,27,28,32,13
13083,4,9,14,17,20,28,12
13084,7,7,11,19,23,26,6
13085,6,8,12,20,26,28,10
13086,5,12,14,15,20,29,12
13087,4,8,14,16,23,25,11
13088,5,10,14,19,21,28,11
13089,6,8,13,16,24,30,7
13090,6,9,15,18,25,29,16
13091,7,12,21,27,31,32,13
13092,2,9,12,18,21,27,9
13093,3,8,15,23,25,30,10
13094,5,15,17,18,28,30,8
13095,7,12,13,17,26,30,14
13096,8,10,17,18,21,31,14
13097,3,3,12,20,24,28,11
13098,-1,4,12,19,23,30,7
13099,10,12,12,26,28,31,6
13100,5,10,13,24,28,31,11
13101,7,9,14,23,24,31,10
13102,9,11,16,17,24,30,10
13103,5,7,11,23,24,29,9
13104,6,13,19,24,26,27,8
13105,4,15,16,24,27,31,11
13106,5,10,15,25,25,25,11
13107,2,5,15,17,21,27,11
13108,2,9,13,21,22,33,9
13109,6,9,17,18,26,28,11
13110,4,8,11,19,23,28,11
13111,7,12,23,24,27,30,10
13112,6,13,21,28,29,31,11
13113,4,12,17,22,26,29,11
13114,1,4,12,16,20,24,11
13115,6,12,18,21,23,26,11
13116,3,5,13,20,23,27,11
13117,2,7,13,14,20,27,6
13118,1,8,10,12,18,20,7
13119,3,6,13,17,20,29,11
13120,3,9,15,17,25,30,7
13121,10,15,16,18,25,30,9
13122,5,6,16,20,25,28,5
13123,5,16,17,21,31,32,5
13124,0,4,9,17,17,28,1
13125,3,8,12,16,21,28,6
13126,4,10,15,20,25,27,4
13127,4,10,11,16,22,26,11
13128,7,8,9,19,28,30,11
13129,9,12,18,18,28,28,10
13130,5,6,10,18,27,29,14
13131,5,9,19,21,28,32,7
13132,2,9,14,18,20,31,7
13133,6,12,15,17,24,30,7
13134,1,5,10,15,21,25,6
13135,3,5,14,16,18,25,6
13136,4,11,20,21,23,29,1
13137,3,7,17,20,22,31,9
13138,3,15,17,21,23,29,6
13139,5,13,17,20,27,31,10
13140,5,5,11,16,18,26,10
13141,10,12,14,19,23,28,8
13142,1,4,12,17,22,31,15
13143,5,12,18,23,24,30,7
13144,3,4,12,18,25,28,5
13145,3,11,18,22,26,31,9
13146,6,16,20,21,26,30,7
13147,5,13,17,22,23,28,8
13148,4,9,13,22,22,25,10
13149,9,13,14,18,28,29,6
13150,10,13,15,16,20,28,7
13151,4,12,16,21,26,31,8
13152,3,10,17,24,28,29,10
13153,7,15,17,21,26,28,12
13154,5,13,16,23,24,29,6
13155,5,13,18,22,30,31,5
14002,2,15,20,22,29,33,5
14003,2,11,16,23,30,31,10
14004,6,9,12,21,24,29,7
14005,6,10,17,20,23,27,9
14006,5,6,13,20,26,31,13
14007,5,12,15,20,28,29,10
14008,3,3,5,19,20,28,8
14009,4,11,14,23,27,30,10
14010,6,7,18,20,22,22,11
14011,2,7,9,16,26,32,7
14012,8,14,15,16,19,24,8
14013,3,4,15,20,25,31,10
14014,4,10,15,23,31,31,6
14015,5,6,14,25,26,27,11
14016,4,6,17,18,27,28,10
14017,5,7,12,16,21,26,9
14018,4,7,11,17,22,26,8
14019,5,14,15,18,21,29,8
14020,0,11,16,21,26,29,9
14021,6,6,11,21,24,32,7
14022,2,7,17,20,24,27,7
14023,15,17,21,22,22,31,10
14024,4,12,13,17,22,26,10
14025,6,9,14,18,26,29,8
14026,7,10,13,17,20,28,10
14027,6,7,9,13,18,30,7
14028,5,6,15,21,27,27,7
14029,9,13,15,17,24,28,11
14030,3,7,10,20,24,30,10
14031,3,10,19,20,23,31,10
14032,6,11,11,14,18,23,12
14033,1,3,14,19,22,26,9
14034,6,11,17,23,27,30,8
14035,6,14,20,23,27,29,14
14036,2,6,13,17,22,26,12
14037,5,7,11,12,20,28,13
14038,6,13,18,25,29,31,13
14039,3,5,13,18,21,28,11
14040,10,11,12,16,22,28,10
14041,5,14,15,25,27,32,13
14042,4,12,15,24,25,31,11
14043,11,15,17,17,21,27,8
14044,5,12,17,18,26,28,8
14045,2,9,17,21,24,30,11
14046,4,9,16,19,24,26,9
14047,2,3,10,16,25,28,6
14048,2,10,13,17,26,29,7
14049,3,11,18,21,28,33,11
14050,5,6,11,22,24,25,2
14051,2,4,8,14,17,29,11
14052,4,6,15,15,20,28,7
14053,7,7,14,24,25,29,10
14054,3,10,15,26,29,32,11
14055,5,11,15,17,23,30,11
14056,6,8,15,21,22,30,13
14057,4,5,8,19,23,28,10
14058,2,6,13,17,26,27,7
14059,10,12,20,27,31,31,8
14060,5,13,19,19,26,29,8
14061,7,12,12,16,20,29,13
14062,5,10,19,21,25,29,5
14063,3,7,12,17,24,32,7
14064,5,10,19,24,26,29,12
14065,5,10,16,17,23,27,11
14066,1,6,7,13,27,31,12
14067,6,10,17,18,23,29,7
14068,7,11,14,24,27,32,9
14069,4,8,15,16,22,31,6
14070,4,7,15,20,24,29,8
14071,5,10,19,20,21,30,9
14072,5,7,14,24,27,31,8
14073,4,10,17,24,28,28,7
14074,3,5,6,14,18,28,7
14075,7,10,12,16,19,27,8
14076,5,5,11,16,24,31,12
14077,8,11,14,19,27,31,4
14078,7,12,16,22,23,32,8
14079,8,9,11,19,27,29,13
14080,9,13,15,19,20,27,4
14081,4,10,14,19,22,24,10
14082,6,8,14,19,22,24,12
14083,6,15,18,25,29,30,9
14084,6,11,17,23,27,29,10
14085,1,7,9,16,22,31,6
14086,3,10,14,17,22,28,11
14087,5,12,15,22,23,30,14
14088,6,8,9,16,27,29,7
14089,2,6,10,16,17,26,11
14090,8,17,18,19,26,32,3
14091,3,9,16,16,22,29,7
14092,3,15,17,20,28,30,5
14093,5,14,18,24,24,30,9
14094,4,8,16,18,25,29,5
14095,6,8,13,13,27,30,12
14096,6,6,15,20,26,27,10
14097,4,5,11,12,23,30,8
14098,4,7,18,21,23,28,6
14099,4,9,9,13,18,28,8
14100,6,7,10,15,20,28,14
14101,5,14,18,20,24,25,3
14102,4,10,17,18,25,31,11
14103,3,9,11,15,22,29,7
14104,7,13,15,16,16,27,7
14105,3,7,15,21,24,29,10
14106,7,13,14,18,22,30,7
14107,2,6,7,15,21,22,8
14108,3,10,11,17,27,29,11
14109,4,5,8,17,22,24,14
14110,5,11,15,26,26,29,9
14111,6,18,23,26,29,30,7
14112,4,8,18,23,26,32,10
14113,4,6,12,16,23,28,7
14114,7,12,13,21,23,26,11
14115,4,5,12,18,23,30,5
14116,4,9,14,17,21,28,8
14117,11,13,16,20,27,31,11
14118,6,13,18,22,26,30,10
14119,6,13,17,24,28,28,7
14120,1,10,11,16,18,26,7
14121,4,10,16,20,22,31,9
14122,4,6,11,16,28,30,12
14123,3,10,10,16,19,27,12
14124,7,13,15,21,26,31,5
14125,7,8,9,15,22,24,5
14126,3,5,10,14,26,31,14
14127,1,4,11,13,22,28,11
14128,4,8,14,15,17,24,6
14129,6,12,20,21,23,31,10
14130,4,7,13,19,22,28,6
14131,4,7,16,17,22,26,5
14132,3,10,13,22,24,33,9
14133,3,14,16,23,24,26,12
14134,2,6,10,15,21,28,9
14135,11,12,18,21,21,25,7
14136,7,8,15,21,27,32,10
14137,2,12,17,21,22,31,0
14138,9,10,18,23,24,28,3
14139,14,16,17,21,24,34,4
14140,4,9,11,18,22,31,5
14141,1,13,15,15,26,33,4
14142,7,10,11,15,23,31,4
14143,5,8,15,16,21,30,3
14144,4,7,15,19,22,28,12
14145,6,12,16,18,22,29,7
14146,3,9,14,16,23,24,8
14147,5,7,13,15,20,24,7
14148,4,5,11,12,16,28,10
14149,12,12,16,21,28,28,7
14150,5,17,24,25,29,33,6
14151,4,8,12,21,22,30,9
14152,3,7,16,23,29,31,14
14153,5,10,15,18,23,23,6
15002,3,8,13,16,25,25,6
15003,2,2,12,18,27,31,12
15004,4,13,13,19,28,28,9
15005,6,12,17,24,27,27,7
15006,2,4,4,18,21,26,11
15007,5,13,13,22,24,31,8
15008,2,4,13,16,21,29,10
15009,1,10,14,19,26,29,11
15010,9,9,17,20,24,32,14
15011,2,8,12,20,22,29,6
15012,2,4,15,19,28,31,7
15013,3,10,12,17,22,31,11
15014,3,7,17,18,23,28,14
