"","n","a1","a2","a3","a4","a5","a6","b1","dsa","dsb"
"558",19098,3,11,12,14,17,26,9,-23,0
"559",19099,7,14,22,23,27,30,8,40,-1
"560",19100,1,4,12,13,30,32,8,-31,0
"561",19101,1,4,9,21,31,33,5,7,-3
"562",19102,3,8,12,16,20,32,12,-8,7
"563",19103,4,12,14,21,27,29,12,16,0
"564",19104,1,5,16,17,18,24,10,-26,-2
"565",19105,2,13,15,17,26,33,1,25,-9
"566",19106,2,14,22,27,30,33,14,22,13
"567",19107,2,6,8,23,27,32,2,-30,-12
"568",19108,7,13,19,22,25,32,13,20,11
"569",19109,3,6,7,17,28,31,10,-26,-3
"570",19110,1,18,22,26,27,28,8,30,-2
"571",19111,7,18,20,22,24,33,1,2,-7
"572",19112,3,12,14,17,23,27,1,-28,0
"573",19113,1,5,19,21,25,33,15,8,14
"574",19114,2,4,9,11,12,30,1,-36,-14
"575",19115,4,10,11,14,15,29,5,15,4
"576",19116,1,8,9,13,16,33,1,-3,-4
"577",19117,3,5,11,28,32,33,1,32,0
"578",19118,2,14,15,25,28,31,4,3,3
"579",19119,4,20,22,24,26,33,7,14,3
"580",19120,10,12,27,31,32,33,3,16,-4
"581",19121,2,6,15,21,30,31,2,-40,-1
"582",19122,4,10,15,19,21,23,2,-13,0
"583",19123,2,6,8,17,28,30,6,-1,4
"584",19124,4,9,30,31,32,33,1,48,-5
"585",19125,2,11,12,26,27,29,3,-32,2
"586",19126,2,14,17,29,32,33,16,20,13
"587",19127,2,6,7,12,17,24,10,-59,-6
"588",19128,3,8,12,16,17,19,8,7,-2
"589",19129,3,4,7,9,15,26,7,-11,-1
"590",19130,1,7,9,11,24,32,16,20,9
"591",19131,9,17,19,20,24,31,4,36,-12
"592",19132,4,6,11,14,19,33,7,-33,3
"593",19133,3,7,16,21,24,31,7,15,0
"594",19734,1,4,6,22,29,30,3,-10,-4
"595",19135,3,6,10,11,27,33,3,-2,0
"596",19136,12,14,15,17,29,33,12,30,9
"597",19137,7,10,13,19,23,31,6,-17,-6
"598",19138,2,6,12,30,31,32,11,10,5
"599",19139,8,14,20,23,30,33,11,15,0
"600",19140,2,4,9,11,14,22,5,-66,-6
"601",19141,10,13,14,15,17,33,14,40,9
"602",19142,8,14,24,27,29,33,9,33,-5
"603",19143,5,13,15,16,26,32,9,-28,0
"604",19144,2,12,15,19,27,30,3,-2,-6
"605",19145,1,8,13,17,18,19,16,-29,13
"606",19146,1,4,10,12,30,32,14,13,-2
"607",19147,1,9,12,14,23,27,12,-3,-2
"608",19148,9,10,13,20,26,27,8,19,-4
"609",19149,1,6,27,28,31,33,7,21,-1
"610",19150,2,9,14,22,27,29,2,-23,-5
"611",19151,2,6,9,18,24,26,14,-18,12
"612",20001,2,15,23,26,29,30,2,40,-12
"613",20002,4,9,14,15,16,29,11,-38,9
"614",20003,9,17,26,29,30,32,3,56,-8
"615",20004,2,15,17,27,32,33,3,-17,0
"616",20005,11,16,17,22,26,32,4,-2,1
"617",20006,3,4,5,10,16,32,9,-54,5
"618",20007,5,12,17,20,25,31,10,40,1
"619",20008,1,4,6,10,11,28,16,-50,6
"620",20009,3,6,8,14,19,26,12,16,-4
"621",20010,11,14,22,27,31,32,9,61,-3
"622",20011,4,5,7,17,18,29,1,-57,-8
"623",20012,4,13,14,23,26,31,9,31,8
"624",20013,2,8,10,20,21,30,14,-20,5
"625",20014,2,7,8,10,12,16,7,-36,-7
"626",20015,8,9,22,24,30,33,1,71,-6
"627",20016,5,6,8,17,24,27,7,-39,6
"628",20017,2,4,7,15,20,27,4,-12,-3
"629",20018,5,7,8,11,17,22,13,-5,9
"630",20019,15,19,27,28,30,33,3,82,-10
"631",20020,1,6,9,13,15,22,14,-86,11
"632",20021,2,6,14,16,27,31,7,30,-7
"633",20022,2,10,20,22,25,30,2,13,-5
"634",20023,4,5,20,21,30,33,8,4,6
"635",20024,10,13,27,28,29,31,8,25,0
"636",20025,1,9,10,15,20,29,2,-54,-6
"637",20026,1,4,9,18,19,31,6,-2,4
"638",20027,12,13,14,24,25,28,6,34,0
"639",20028,5,6,15,18,26,32,8,-14,2
"640",20029,1,12,18,20,30,32,5,11,-3
"641",20030,17,18,21,29,30,32,3,34,-2
"642",20031,2,5,9,15,15,27,9,-74,6
"643",20032,3,11,13,14,15,26,13,9,4
"644",20033,7,10,12,21,31,32,1,31,-12
"645",20034,2,8,15,16,26,32,3,-14,2
"646",20035,10,14,24,25,28,33,11,35,8
"647",20036,7,9,16,22,24,32,6,-24,-5
"648",20037,1,4,11,13,17,24,15,-40,9
"649",20038,1,6,7,18,23,24,15,9,0
"650",20039,2,9,10,11,16,29,2,-2,-13
"651",20040,1,6,12,16,19,21,4,-2,2
"652",20041,6,7,16,22,24,25,13,25,9
"653",20042,2,6,7,11,14,31,3,-29,-10
"654",20043,1,11,24,25,27,30,7,47,4
"655",20044,7,8,16,17,19,24,7,-27,0
"656",20045,2,3,15,21,22,33,16,5,9
"657",20046,13,19,25,26,27,32,8,46,-8
