"V1","V2","V3","V4","V5","V6","V7","V8"
"11002","2","12","14","19","24","26","13"
"11003","3","11","14","18","26","26","3"
"11004","5","12","16","17","25","28","7"
"11005","5","12","19","19","24","26","7"
"11006","9","9","16","21","22","28","7"
"11007","4","6","15","19","26","29","10"
"11008","2","8","12","22","23","28","9"
"11009","3","6","18","20","27","31","10"
"11010","3","6","21","21","27","29","11"
"11011","2","6","18","20","27","29","9"
"11012","2","8","15","22","24","31","5"
"11013","3","6","19","20","28","28","8"
"11014","1","10","10","16","17","28","11"
"11015","2","10","15","23","27","29","6"
"11016","2","10","14","23","24","27","10"
"11017","3","9","11","20","25","30","6"
"11018","5","11","12","18","23","26","12"
"11019","4","11","15","20","24","27","5"
"11020","6","11","15","17","21","29","4"
"11021","4","4","15","18","25","29","6"
"11022","4","4","17","17","26","31","11"
"11023","6","10","15","20","22","29","5"
"11024","4","10","15","16","20","28","10"
"11025","4","10","16","19","22","28","7"
"11026","6","9","11","13","25","28","6"
"11027","3","6","12","14","25","27","12"
"11028","7","10","10","14","26","31","10"
"11029","4","5","14","20","23","29","9"
"11030","5","10","12","17","24","27","7"
"11031","2","7","17","21","23","25","11"
"11032","3","5","13","17","21","29","7"
"11033","2","13","14","25","25","30","7"
"11034","3","10","17","18","21","31","10"
"11035","3","10","17","20","23","26","12"
"11036","4","8","16","17","22","27","9"
"11037","4","8","13","20","23","23","5"
"11038","1","2","14","20","26","29","4"
"11039","4","11","14","20","21","24","5"
"11040","3","11","16","20","25","31","9"
"11041","7","9","13","15","24","27","11"
"11042","3","10","16","21","23","26","7"
"11043","8","10","16","21","22","28","4"
"11044","4","12","16","17","24","28","7"
"11045","3","12","15","15","27","29","5"
"11046","7","9","12","16","22","28","5"
"11047","6","6","17","18","27","29","10"
"11048","5","11","14","17","26","27","5"
"11049","5","8","13","17","23","27","8"
"11050","4","9","11","12","20","28","7"
"11051","4","11","16","17","30","30","15"
"11052","6","13","14","19","26","27","9"
"11053","2","10","16","18","23","24","10"
"11054","5","15","17","22","23","23","7"
"11055","3","9","14","15","25","27","5"
"11056","5","7","14","19","23","28","6"
"11057","2","5","16","19","24","28","11"
"11058","6","8","16","21","25","28","9"
"11059","9","9","18","20","25","28","12"
"11060","5","9","14","21","23","24","9"
"11061","3","9","10","21","24","28","8"
"11062","4","5","15","19","25","31","8"
"11063","2","4","13","21","23","32","9"
"11064","4","7","12","21","29","31","9"
"11065","2","11","20","22","23","33","6"
"11066","6","8","17","22","25","28","10"
"11067","2","7","16","18","25","28","9"
"11068","3","6","14","15","24","29","3"
"11069","4","17","18","20","23","30","8"
"11070","7","11","16","16","26","27","9"
"11071","1","10","15","21","25","27","6"
"11072","3","8","10","12","26","30","8"
"11073","6","13","20","21","26","27","14"
"11074","9","10","17","22","25","27","7"
"11075","6","8","9","17","21","27","10"
"11076","2","4","15","21","21","29","6"
"11077","4","10","13","22","22","29","3"
"11078","1","11","14","19","27","29","10"
"11079","4","12","17","20","24","31","8"
"11080","7","8","8","14","26","27","6"
"11081","8","12","17","23","26","29","11"
"11082","2","13","14","15","23","29","4"
"11083","7","8","12","14","27","28","3"
"11084","3","11","12","14","22","30","9"
"11085","2","9","10","21","22","27","7"
"11086","4","10","10","22","25","30","9"
"11087","8","12","14","25","27","27","12"
"11088","3","11","12","20","22","24","11"
"11089","3","12","15","20","21","29","7"
"11090","3","13","17","18","18","31","8"
"11091","5","10","13","17","27","28","8"
"11092","2","7","11","20","22","27","11"
"11093","5","12","13","25","25","29","6"
"11094","5","8","18","18","25","25","8"
"11095","2","9","14","20","26","29","7"
"11096","5","9","13","16","27","29","8"
"11097","2","12","15","19","24","31","10"
"11098","5","10","16","21","27","28","6"
"11099","5","11","12","21","25","30","7"
"11100","4","12","15","20","21","24","9"
"11101","2","8","15","16","26","30","6"
"11102","5","9","12","21","21","22","10"
"11103","7","11","11","19","22","26","11"
"11104","4","16","17","23","23","24","11"
"11105","3","8","15","20","27","31","8"
"11106","4","11","15","19","25","32","9"
"11107","5","10","18","20","23","26","11"
"11108","4","7","19","22","25","30","10"
"11109","5","6","18","18","21","31","10"
"11110","4","7","8","23","26","28","11"
"11111","6","8","14","21","25","29","10"
"11112","3","7","12","22","23","26","9"
"11113","5","9","16","21","25","26","8"
"11114","3","8","13","17","19","26","8"
"11115","5","5","11","19","26","29","10"
"11116","4","5","13","19","23","27","10"
"11117","4","7","12","21","29","30","8"
"11118","2","11","14","17","20","23","5"
"11119","4","13","13","18","26","29","10"
"11120","10","14","14","19","24","27","7"
"11121","7","8","14","15","27","29","8"
"11122","4","9","19","20","21","31","13"
"11123","4","6","16","18","23","29","7"
"11124","3","6","19","23","26","29","9"
"11125","8","14","19","19","25","30","12"
"11126","3","7","14","18","24","30","7"
"11127","4","7","8","17","20","29","5"
"11128","7","7","7","16","21","32","10"
"11129","6","10","13","20","22","27","12"
"11130","5","9","15","21","21","32","8"
"11131","3","6","10","16","22","33","11"
"11132","4","9","16","18","24","25","4"
"11133","5","9","10","25","26","28","8"
"11134","6","9","10","21","24","27","6"
"11135","3","13","14","20","27","28","7"
"11136","2","7","10","20","28","28","8"
"11137","6","13","15","19","24","26","10"
"11138","6","8","9","17","26","29","11"
"11139","6","10","15","21","22","28","12"
"11140","3","11","12","25","27","29","7"
"11141","5","14","16","20","27","30","9"
"11142","3","7","14","17","26","28","5"
"11143","4","9","14","20","26","32","9"
"11144","5","8","19","20","23","28","5"
"11145","5","11","11","22","26","30","8"
"11146","5","5","8","22","24","30","8"
"11147","2","3","14","17","25","32","6"
"11148","6","9","19","23","25","28","13"
"11149","2","9","12","17","26","26","11"
"11150","5","8","16","21","24","26","5"
"11151","3","8","15","19","26","26","8"
"11152","3","5","13","23","23","29","6"
"11153","3","7","11","20","23","28","11"
"11154","5","8","14","18","28","29","5"
"12002","4","13","15","18","26","26","5"
"12003","5","14","17","17","19","30","10"
"12004","6","13","15","19","22","30","5"
"12005","2","5","11","18","23","26","16"
"12006","2","11","19","21","21","29","12"
"12007","2","10","11","18","23","28","8"
"12008","10","13","14","20","27","28","9"
"12009","4","8","11","22","24","30","5"
"12010","4","9","12","19","23","26","8"
"12011","8","8","11","23","26","28","12"
"12012","6","12","14","19","20","31","10"
"12013","4","7","11","15","25","29","7"
"12014","3","6","10","17","25","28","1"
"12015","3","5","15","17","27","29","10"
"12016","6","8","11","16","23","29","4"
"12017","9","13","18","22","25","27","7"
"12018","6","9","13","19","25","28","8"
"12019","4","9","11","21","22","27","5"
"12020","3","9","13","18","23","29","12"
"12021","4","6","7","19","25","26","12"
"12022","4","8","15","17","27","28","10"
"12023","6","9","14","19","25","32","11"
"12024","4","11","13","16","17","31","8"
"12025","6","7","14","15","20","21","11"
"12026","3","9","15","19","21","28","8"
"12027","5","9","14","19","26","29","6"
"12028","3","11","13","20","27","27","11"
"12029","6","7","11","19","26","31","9"
"12030","5","8","15","19","26","29","10"
"12031","5","7","10","18","27","31","6"
"12032","2","12","13","17","22","28","10"
"12033","1","16","18","19","22","29","6"
"12034","5","11","15","22","24","26","7"
"12035","7","8","16","19","22","27","11"
"12036","6","10","18","19","25","25","6"
"12037","0","10","12","20","22","31","13"
"12038","2","11","13","19","23","25","10"
"12039","6","9","14","21","30","31","4"
"12040","4","8","14","18","25","31","5"
"12041","4","5","14","21","23","29","9"
"12042","5","7","14","23","25","27","5"
"12043","5","13","13","20","23","31","9"
"12044","11","13","15","23","26","30","6"
"12045","4","6","17","19","23","28","4"
"12046","3","10","17","22","24","31","9"
"12047","10","13","15","20","25","31","8"
"12048","3","12","13","18","21","29","13"
"12049","6","6","16","19","24","29","11"
"12050","4","10","17","19","21","30","7"
"12051","3","13","17","19","24","27","10"
"12052","4","12","12","20","23","25","7"
"12053","4","8","16","19","23","31","9"
"12054","6","9","20","24","25","29","10"
"12055","3","8","15","20","21","25","10"
"12056","6","8","15","18","24","29","5"
"12057","5","12","14","22","24","30","10"
"12058","3","10","14","19","25","29","5"
"12059","4","8","15","22","24","28","6"
"12060","3","9","11","12","29","31","8"
"12061","6","10","15","19","20","26","8"
"12062","8","13","13","20","22","29","8"
"12063","1","10","11","20","24","29","7"
"12064","6","11","16","16","27","31","10"
"12065","3","10","15","19","24","29","12"
"12066","6","9","14","20","27","29","8"
"12067","3","11","12","24","24","27","8"
"12068","3","11","13","18","22","31","4"
"12069","5","7","11","22","23","27","5"
"12070","7","7","14","20","27","30","8"
"12071","6","12","12","22","23","27","7"
"12072","2","10","15","19","19","28","15"
"12073","6","9","20","22","24","29","8"
"12074","6","16","17","18","27","30","6"
"12075","3","8","18","18","26","27","14"
"12076","4","11","18","19","27","31","10"
"12077","5","12","19","20","21","32","8"
"12078","6","9","18","21","25","30","7"
"12079","3","12","14","21","21","31","13"
"12080","5","10","18","19","25","31","13"
"12081","5","8","14","27","28","28","10"
"12082","5","7","17","20","21","31","12"
"12083","7","12","19","19","26","30","10"
"12084","5","8","12","13","27","28","8"
"12085","7","13","15","21","27","30","16"
"12086","4","12","13","22","26","28","4"
"12087","1","8","16","19","23","29","8"
"12088","5","8","8","22","24","29","12"
"12089","3","7","16","21","23","29","8"
"12090","4","13","17","19","23","31","9"
"12091","2","11","11","15","28","29","11"
"12092","4","8","15","19","22","32","11"
"12093","2","7","16","21","22","25","9"
"12094","2","14","14","19","28","29","11"
"12095","6","10","19","20","25","27","9"
"12096","3","9","13","14","22","29","9"
"12097","3","9","12","18","21","27","9"
"12098","4","4","13","20","24","29","10"
"12099","2","7","9","16","20","28","7"
"12100","7","11","18","21","26","28","9"
"12101","2","10","18","24","26","30","9"
"12102","4","8","22","24","25","28","6"
"12103","3","12","15","21","27","28","2"
"12104","6","10","11","14","25","28","5"
"12105","7","8","16","18","26","32","10"
"12106","9","9","11","22","23","30","8"
"12107","2","9","12","18","21","29","8"
"12108","3","8","14","21","24","26","10"
"12109","8","10","13","17","25","29","9"
"12110","3","5","17","20","25","29","14"
"12111","8","9","16","19","25","28","15"
"12112","6","6","14","16","29","31","5"
"12113","2","14","16","17","27","27","12"
"12114","5","8","16","19","28","28","11"
"12115","3","9","12","23","25","33","5"
"12116","4","12","16","19","28","28","11"
"12117","4","9","12","18","24","32","5"
"12118","3","7","13","24","25","28","10"
"12119","3","7","15","17","27","33","7"
"12120","3","10","15","21","22","28","10"
"12121","6","10","11","18","24","28","2"
"12122","6","9","14","18","27","29","7"
"12123","5","15","16","20","23","27","11"
"12124","3","8","15","21","28","29","10"
"12125","3","14","15","20","21","29","10"
"12126","6","12","13","17","24","29","12"
"12127","3","10","15","22","26","30","11"
"12128","4","9","18","20","25","28","6"
"12129","1","8","16","20","23","30","7"
"12130","4","10","17","22","27","30","10"
"12131","6","12","14","19","23","26","12"
"12132","2","10","15","17","26","31","10"
"12133","6","7","18","21","25","30","11"
"12134","3","9","19","21","23","30","8"
"12135","3","9","19","21","22","32","10"
"12136","7","12","13","17","26","28","0"
"12137","3","11","17","25","27","29","11"
"12138","6","10","16","19","21","28","8"
"12139","4","10","13","16","23","29","13"
"12140","7","11","12","18","25","29","8"
"12141","2","8","16","21","29","31","9"
"12142","5","10","18","25","26","29","11"
"12143","5","6","12","24","26","28","14"
"12144","8","10","14","18","26","27","8"
"12145","8","9","13","20","25","29","7"
"12146","7","8","13","16","25","27","8"
"12147","5","8","14","19","23","31","10"
"12148","5","10","15","20","26","28","4"
"12149","5","9","12","23","23","30","9"
"12150","9","11","17","18","30","34","16"
"12151","3","6","14","17","24","27","7"
"12152","4","9","10","21","26","27","7"
"12153","5","12","13","20","25","25","14"
"12154","9","10","12","21","23","31","7"
"12155","5","9","18","20","26","27","4"
"13002","5","6","6","21","21","28","8"
"13003","4","10","10","11","25","27","9"
"13004","5","13","15","21","27","28","11"
"13005","6","10","13","15","19","29","7"
"13006","7","13","17","18","26","28","12"
"13007","6","7","12","23","23","23","11"
"13008","2","12","16","23","27","31","7"
"13009","9","16","20","20","25","29","8"
"13010","4","10","14","20","21","24","3"
"13011","1","11","17","18","24","30","5"
"13012","1","14","14","23","23","30","13"
"13013","6","8","16","17","18","27","8"
"13014","3","6","13","18","27","28","10"
"13015","5","10","17","19","27","32","9"
"13016","3","8","19","19","25","25","14"
"13017","0","15","16","17","24","30","5"
"13018","5","7","14","21","22","31","7"
"13019","3","7","13","21","22","30","9"
"13020","3","5","12","14","25","26","6"
"13021","3","8","16","16","23","28","3"
"13022","3","9","11","22","25","28","9"
"13023","7","10","12","16","25","29","11"
"13024","7","7","14","22","23","32","10"
"13025","3","10","11","19","29","30","8"
"13026","5","7","14","20","25","28","8"
"13027","5","10","14","22","27","30","15"
"13028","8","8","10","15","23","31","8"
"13029","3","11","15","16","23","30","10"
"13030","4","11","14","22","28","29","8"
"13031","4","11","16","19","21","31","7"
"13032","3","9","16","25","25","27","6"
"13033","4","5","9","21","21","30","6"
"13034","1","11","12","19","27","27","13"
"13035","0","8","14","22","22","28","9"
"13036","7","9","21","22","24","30","12"
"13037","2","14","16","16","21","29","11"
"13038","6","7","16","19","26","27","11"
"13039","4","7","13","17","26","27","10"
"13040","5","15","18","21","24","31","8"
"13041","4","8","15","15","21","31","11"
"13042","6","9","15","17","26","27","9"
"13043","3","11","16","18","20","33","8"
"13044","5","13","14","20","26","27","5"
"13045","6","9","16","20","24","32","11"
"13046","4","11","14","16","27","32","7"
"13047","6","7","11","15","19","26","13"
"13048","1","10","13","16","25","30","6"
"13049","5","9","11","17","27","29","8"
"13050","6","10","12","17","23","28","9"
"13051","5","9","14","22","23","29","7"
"13052","5","7","16","18","21","30","6"
"13053","4","7","10","18","21","32","13"
"13054","4","11","14","18","22","30","6"
"13055","12","15","15","18","26","29","11"
"13056","4","9","17","18","23","26","6"
"13057","2","10","15","20","22","28","9"
"13058","5","13","13","22","26","30","7"
"13059","5","8","12","15","26","29","13"
"13060","5","10","17","21","25","26","10"
"13061","1","11","15","16","19","27","10"
"13062","6","10","18","20","22","27","7"
"13063","8","8","16","18","23","32","4"
"13064","8","11","12","18","22","30","14"
"13065","5","13","13","18","22","27","11"
"13066","4","7","14","14","23","24","9"
"13067","5","10","17","21","23","32","8"
"13068","3","5","14","15","24","29","9"
"13069","4","12","21","21","26","28","8"
"13070","9","9","18","22","25","28","10"
"13071","3","8","13","18","22","31","11"
"13072","6","8","15","16","24","33","9"
"13073","5","10","14","21","27","33","3"
"13074","3","12","18","22","28","30","8"
"13075","2","11","16","23","23","27","8"
"13076","3","8","14","19","26","30","10"
"13077","3","9","16","16","26","31","12"
"13078","3","7","14","16","24","25","7"
"13079","5","5","13","16","28","30","10"
"13080","2","5","14","16","23","31","11"
"13081","5","8","13","17","19","28","9"
"13082","5","9","16","27","27","27","8"
"13083","5","11","18","22","24","29","12"
"13084","6","8","15","16","22","29","12"
"13085","7","9","12","14","28","30","5"
"13086","1","6","18","18","22","30","9"
"13087","4","10","18","20","24","32","12"
"13088","3","9","14","17","27","28","6"
"13089","2","7","11","18","24","29","12"
"13090","5","8","14","22","23","29","8"
"13091","8","10","18","19","27","29","9"
"13092","2","8","11","22","26","30","6"
"13093","2","8","15","15","26","26","9"
"13094","4","5","15","18","23","28","8"
"13095","3","10","16","24","24","29","10"
"13096","2","10","13","17","21","31","11"
"13097","4","11","13","19","25","26","6"
"13098","2","5","11","18","22","29","8"
"13099","9","11","12","19","23","31","14"
"13100","4","7","9","15","23","31","9"
"13101","6","6","16","24","27","27","7"
"13102","3","9","15","20","22","30","10"
"13103","3","10","12","14","22","28","6"
"13104","3","11","13","20","22","28","9"
"13105","2","10","17","23","25","30","10"
"13106","2","6","17","19","20","30","10"
"13107","4","9","18","22","27","29","9"
"13108","6","10","17","18","24","27","7"
