"V1","V2","V3","V4","V5","V6","V7","V8"
"17002","4","10","18","21","27","32","7"
"17003","4","4","9","13","61","723","9"
"17004","5","10","16","21","22","29","11"
"17005","2","7","10","16","22","31","8"
"17006","4","9","18","19","25","30","7"
"17007","1","2","10","17","26","29","10"
"17008","4","12","15","21","24","27","14"
"17009","11","15","15","15","23","29","5"
"17010","7","15","17","20","28","28","4"
"17011","3","5","12","13","18","29","8"
"17012","5","8","18","25","29","31","8"
"17013","6","6","11","19","29","32","7"
"17014","1","2","9","10","18","28","8"
"17015","5","12","17","22","23","30","13"
"17016","3","13","14","22","24","29","8"
"17017","5","8","11","19","21","26","8"
"17018","2","10","15","20","24","26","10"
"17019","5","12","16","23","26","30","8"
"17020","2","4","8","20","23","28","6"
"17021","7","14","15","19","20","28","9"
"17022","5","10","18","23","29","31","13"
"17023","3","14","20","22","23","32","12"
"17024","7","13","16","16","23","31","10"
"17025","3","10","19","23","27","30","3"
"17026","4","11","14","20","24","30","10"
"17027","8","9","16","18","23","29","6"
"17028","11","14","15","22","30","31","8"
"17029","11","12","12","13","16","26","9"
"17030","9","11","13","18","25","29","13"
"17031","5","9","9","17","21","30","11"
"17032","3","12","15","18","24","31","8"
"17033","5","10","15","24","24","27","8"
"17034","3","6","12","17","25","27","7"
"17035","6","12","13","13","23","30","10"
"17036","7","7","9","15","20","28","12"
"17037","5","9","13","18","23","25","8"
"17038","4","8","11","15","22","26","14"
"17039","4","7","15","19","24","31","9"
"17040","6","6","14","17","21","28","8"
"17041","8","11","12","18","24","31","3"
"17042","3","7","12","15","19","22","12"
"17043","4","9","10","18","25","27","10"
"17044","2","6","11","16","26","29","3"
"17045","7","13","19","22","29","30","9"
"17046","4","9","14","18","26","27","12"
"17047","7","7","17","20","26","28","10"
"17048","3","7","14","18","27","27","12"
"17049","2","8","8","9","59","722","8"
"17050","12","14","18","25","25","29","8"
"17051","6","13","18","23","27","29","14"
"17052","3","8","11","17","25","27","3"
"17053","9","12","16","20","27","30","5"
"17054","5","9","12","16","25","32","9"
"17055","4","10","19","21","26","28","9"
"17056","7","13","17","18","24","31","6"
"17057","2","3","11","15","20","28","13"
"17058","8","11","15","18","19","29","3"
"17059","6","14","18","22","23","29","8"
"17060","5","12","14","21","26","33","15"
"17061","4","10","11","20","27","31","9"
"17062","6","15","19","28","30","32","5"
"17063","5","11","17","19","26","29","10"
"17064","4","8","17","23","23","28","7"
"17065","7","9","12","18","18","28","15"
"17066","2","7","11","14","20","28","7"
"17067","4","9","10","15","27","28","3"
"17068","10","13","14","15","26","28","7"
"17069","2","5","9","13","22","27","12"
"17070","4","8","11","20","25","30","8"
"17071","9","11","13","22","22","27","4"
"17072","1","7","12","21","24","30","8"
"17073","5","8","14","18","21","26","9"
"17074","6","14","18","20","28","31","9"
"17075","5","11","15","20","24","29","8"
"17076","6","12","17","26","27","31","8"
"17077","5","6","12","15","27","28","10"
"17078","4","8","8","10","18","24","17"
"17079","2","14","18","21","25","30","1"
"17080","8","11","17","18","22","26","7"
"17081","4","9","14","20","23","28","9"
"17082","2","5","14","16","26","31","10"
"17083","6","7","14","21","29","32","8"
"17084","2","11","14","22","25","30","14"
"17085","3","8","9","19","24","25","10"
"17086","5","14","19","27","29","33","5"
"17087","10","10","11","19","25","28","9"
"17088","4","8","10","16","23","28","11"
"17089","2","12","14","23","25","29","8"
"17090","8","13","18","22","26","27","13"
"17091","2","5","12","22","25","30","6"
"17092","2","8","13","18","24","28","9"
