"V1","V2","V3","V4","V5","V6","V7","V8"
"8002","7","8","17","21","24","31","8"
"8003","9","9","15","19","25","29","10"
"8004","2","8","16","18","25","30","6"
"8005","3","11","13","24","25","28","10"
"8006","3","9","12","19","23","28","10"
"8007","4","6","10","11","21","22","6"
"8008","5","12","16","21","30","31","7"
"8009","2","10","19","19","24","29","3"
"8010","4","7","16","19","30","32","11"
"8011","3","9","13","16","26","28","10"
"8012","2","7","17","20","21","30","10"
"8013","4","12","18","23","25","31","7"
"8014","1","7","16","21","26","28","6"
"8015","4","10","14","18","21","28","10"
"8016","4","10","14","15","19","31","13"
"8017","1","7","11","15","25","27","7"
"8018","4","11","17","17","25","32","11"
"8019","4","10","17","18","25","28","11"
"8020","3","7","15","20","24","30","8"
"8021","2","9","12","16","25","26","7"
"8022","9","13","14","18","26","31","8"
"8023","3","8","12","17","25","31","7"
"8024","4","7","15","17","22","31","7"
"8025","3","7","14","17","26","31","10"
"8026","7","12","19","25","26","32","11"
"8027","6","12","13","18","22","28","4"
"8028","1","12","13","19","23","24","4"
"8029","4","9","14","18","24","26","9"
"8030","2","6","14","20","21","28","5"
"8031","4","8","10","19","24","30","3"
"8032","4","7","11","17","26","29","9"
"8033","4","11","14","15","27","32","6"
"8034","5","10","11","19","22","31","5"
"8035","6","13","15","17","24","28","10"
"8036","7","9","12","12","16","23","14"
"8037","6","6","12","20","21","26","10"
"8038","4","11","14","21","26","31","7"
"8039","5","11","19","23","26","31","8"
"8040","5","8","12","21","25","30","9"
"8041","4","8","15","22","24","29","5"
"8042","2","9","11","22","26","29","10"
"8043","4","7","13","21","24","31","7"
"8044","3","7","11","13","24","28","8"
"8045","5","16","21","24","26","31","12"
"8046","2","11","13","16","23","27","12"
"8047","2","11","13","21","30","32","7"
"8048","8","17","18","25","26","32","6"
"8049","4","8","14","16","22","26","7"
"8050","7","11","15","19","22","30","11"
"8051","7","15","18","18","19","21","14"
"8052","6","12","20","20","24","31","5"
"8053","4","9","13","19","21","29","10"
"8054","5","7","17","20","25","30","11"
"8055","4","11","16","21","23","32","12"
"8056","3","9","13","18","22","31","10"
"8057","5","8","13","18","21","28","11"
"8058","10","12","19","19","29","32","8"
"8059","9","13","21","24","26","27","4"
"8060","6","9","15","21","27","31","4"
"8061","5","12","13","16","27","33","11"
"8062","8","15","15","19","27","30","11"
"8063","2","9","9","14","25","25","7"
"8064","3","8","17","18","23","30","8"
"8065","7","8","15","23","23","26","15"
"8066","5","10","13","14","20","29","10"
"8067","5","8","11","23","27","33","5"
"8068","6","12","14","21","22","30","12"
"8069","4","11","14","20","25","29","6"
"8070","4","10","16","20","24","32","10"
"8071","0","7","12","17","23","30","8"
"8072","2","3","9","12","21","30","9"
"8073","5","9","13","23","25","30","8"
"8074","2","6","9","13","17","31","7"
"8075","6","11","20","20","24","28","7"
"8076","4","11","13","18","26","29","13"
"8077","9","12","16","22","25","30","8"
"8078","2","7","15","15","21","24","10"
"8079","4","10","10","18","24","29","8"
"8080","5","6","8","10","14","32","8"
"8081","6","9","16","19","24","30","4"
"8082","4","11","14","21","24","29","9"
"8083","4","6","16","20","23","30","7"
"8084","5","12","13","16","17","26","13"
"8085","3","9","19","21","25","26","2"
"8086","1","5","6","14","21","23","8"
"8087","2","8","9","15","20","21","14"
"8088","5","9","14","21","27","30","11"
"8089","4","9","15","15","22","30","5"
"8090","5","11","17","24","30","31","6"
"8091","3","8","8","16","19","27","15"
"8092","3","7","16","18","24","28","7"
"8093","3","12","14","16","20","21","9"
"8094","3","9","13","15","22","24","7"
"8095","4","6","19","21","30","34","8"
"8096","4","7","13","19","19","24","15"
"8097","5","11","19","20","24","31","7"
