"V1","V2","V3","V4","V5","V6","V7","V8"
"17002","3","9","11","19","24","29","4"
"17003","4","11","16","22","26","28","7"
"17004","7","10","14","18","20","26","8"
"17005","6","9","11","17","29","31","12"
"17006","9","9","19","20","21","25","7"
"17007","8","9","16","16","27","31","9"
"17008","9","16","17","21","27","32","15"
"17009","2","9","13","14","21","27","12"
"17010","5","13","14","17","24","29","10"
"17011","3","7","11","20","21","28","6"
"17012","6","12","17","23","24","27","8"
"17013","7","9","16","23","28","29","6"
"17014","6","14","14","23","27","29","8"
"17015","6","10","14","16","25","29","5"
"17016","5","8","10","15","20","29","12"
"17017","0","5","9","17","23","30","11"
"17018","3","7","16","19","22","32","7"
"17019","6","7","15","23","24","28","8"
"17020","10","12","17","24","25","29","11"
"17021","4","6","14","17","18","31","6"
"17022","4","8","17","21","26","28","11"
"17023","2","13","15","18","23","30","15"
"17024","6","7","10","22","29","31","10"
"17025","9","10","14","14","21","32","13"
"17026","3","9","11","23","28","28","8"
"17027","2","11","12","20","23","25","9"
"17028","6","11","15","20","23","29","8"
"17029","8","12","17","19","25","28","13"
"17030","3","8","15","23","27","32","11"
"17031","6","6","13","19","28","32","7"
"17032","2","11","16","23","24","29","9"
"17033","6","12","14","20","27","30","8"
"17034","7","10","16","19","28","29","11"
"17035","10","13","22","26","28","28","6"
"17036","7","11","14","26","27","32","12"
"17037","8","12","14","19","28","29","10"
"17038","5","12","14","16","21","25","9"
"17039","10","13","19","22","26","35","11"
"17040","6","13","19","20","21","28","12"
"17041","4","12","12","19","20","28","7"
"17042","4","6","15","20","24","30","7"
"17043","2","6","11","15","19","29","11"
"17044","6","12","15","17","18","24","13"
"17045","7","10","12","19","23","26","5"
"17046","8","14","15","24","28","29","3"
"17047","3","6","13","19","22","26","9"
"17048","4","8","14","19","23","28","8"
"17049","7","16","20","22","27","30","11"
"17050","7","15","17","18","28","32","4"
"17051","7","12","14","19","26","30","11"
"17052","4","9","17","19","19","25","10"
"17053","1","3","9","14","14","27","8"
"17054","5","6","8","15","22","27","7"
