"V1","V2","V3","V4","V5","V6","V7","V8"
"21002","5","9","14","21","26","28","6"
"21003","2","12","18","19","25","28","10"
"21004","2","9","14","22","25","29","13"
"21005","1","4","10","15","21","25","7"
"21006","3","11","15","19","22","26","8"
"21007","6","6","6","21","26","31","5"
"21008","6","10","12","22","30","30","11"
"21009","2","10","15","20","25","25","14"
"21010","1","7","18","19","26","30","9"
"21011","3","8","12","20","22","25","4"
"21012","7","11","12","15","25","28","9"
"21013","5","11","17","20","23","32","10"
"21014","5","9","11","11","17","27","11"
"21015","4","11","14","22","26","30","9"
"21016","4","8","17","21","23","29","11"
"21017","4","12","16","24","26","30","10"
"21018","4","9","14","18","26","31","6"
"21019","1","3","9","18","27","32","7"
"21020","5","7","10","19","24","28","6"
"21021","4","7","11","18","24","29","13"
"21022","5","7","15","18","21","27","11"
"21023","3","5","13","17","22","25","4"
"21024","5","9","13","21","26","29","5"
"21025","8","12","14","22","24","30","11"
"21026","6","12","15","17","21","27","12"
"21027","8","9","14","19","26","30","2"
"21028","4","6","11","13","17","28","8"
"21029","6","11","11","13","20","26","8"
"21030","9","16","18","26","27","30","11"
"21031","3","6","10","15","22","30","11"
"21032","5","7","17","19","23","27","10"
"21033","3","7","13","13","18","21","5"
"21034","4","5","9","19","23","31","2"
"21035","2","7","13","24","27","30","11"
"21036","3","7","12","15","24","28","9"
"21037","7","8","11","19","23","24","9"
"21038","7","16","21","22","24","27","12"
"21039","4","10","16","22","23","27","14"
"21040","2","7","8","16","21","22","9"
"21041","4","4","9","14","22","32","9"
"21042","4","9","17","18","20","29","10"
"21043","4","9","15","20","28","31","3"
"21044","6","12","18","25","26","32","10"
"21045","3","5","15","20","21","31","12"
"21046","9","11","17","23","23","30","8"
"21047","4","8","14","18","26","26","7"
"21048","4","5","13","19","20","28","8"
"21049","1","10","11","20","23","27","8"
"21050","4","10","13","14","23","29","6"
"21051","5","9","17","19","20","31","11"
"21052","4","8","13","15","26","26","5"
"21053","7","10","13","20","20","28","6"
"21054","3","11","13","18","24","26","10"
"21055","4","7","12","19","25","30","12"
"21056","6","11","13","22","28","29","10"
"21057","6","6","14","18","26","32","7"
"21058","4","5","13","20","25","29","4"
"21059","6","10","18","21","29","33","6"
"21060","6","6","14","24","29","33","9"
"21061","4","15","15","22","26","31","7"
"21062","5","11","12","19","25","27","11"
"21063","11","14","15","21","26","30","12"
"21064","2","7","14","17","26","29","9"
"21065","5","12","17","22","22","28","8"
"21066","6","10","10","20","20","30","10"
"21067","7","13","18","24","27","28","10"
"21068","3","3","13","19","24","30","9"
"21069","6","8","13","20","23","27","10"
"21070","4","7","11","20","22","29","6"
"21071","6","8","15","24","26","28","2"
"21072","6","8","9","9","19","23","8"
"21073","6","8","11","19","19","31","10"
"21074","3","8","13","20","27","31","6"
"21075","6","13","14","22","27","34","9"
"21076","7","9","12","16","21","22","10"
"21077","3","7","10","19","29","31","8"
"21078","2","5","12","16","22","26","11"
"21079","3","4","11","11","17","29","6"
"21080","2","12","14","20","28","31","7"
"21081","3","9","14","21","23","24","10"
"21082","11","15","18","22","30","33","6"
"21083","5","12","15","16","23","25","5"
"21084","2","4","15","18","19","25","8"
"21085","6","7","12","18","24","29","6"
"21086","13","14","17","22","26","29","10"
"21087","4","10","17","18","25","32","8"
"21088","11","13","16","24","25","26","6"
"21089","6","8","13","19","27","27","10"
"21090","8","12","16","19","26","27","5"
"21091","3","10","14","19","27","31","15"
"21092","5","11","13","18","25","30","6"
"21093","6","13","13","26","28","29","5"
"21094","6","11","18","20","24","30","5"
"21095","6","8","14","18","25","29","15"
"21096","5","13","19","19","24","31","10"
"21097","4","9","15","19","23","27","8"
"21098","2","5","14","22","26","32","4"
"21099","7","9","16","19","27","31","11"
"21100","8","10","17","24","26","31","12"
"21101","5","9","12","17","24","28","7"
"21102","2","8","16","19","25","28","8"
"21103","4","10","14","19","23","27","9"
"21104","6","8","16","17","26","26","8"
"21105","6","9","11","20","25","28","7"
"21106","8","9","16","18","21","27","8"
"21107","4","11","16","23","25","32","16"
"21108","5","9","17","22","27","34","7"
"21109","7","9","11","19","25","30","9"
"21110","2","7","11","18","24","29","7"
"21111","4","12","18","26","26","30","3"
"21112","8","9","15","18","26","29","11"
"21113","1","6","15","23","27","30","13"
"21114","5","8","10","19","24","29","7"
"21115","5","8","17","19","19","31","9"
"21116","5","10","15","23","28","31","10"
"21117","6","10","13","23","24","33","7"
"21118","7","12","15","19","28","31","10"
"21119","5","12","14","21","25","29","14"
"21120","2","16","18","23","27","31","7"
"21121","4","7","14","15","22","30","9"
"21122","5","11","18","23","29","32","10"
"21123","6","7","14","16","23","28","4"
"21124","3","15","17","21","25","30","2"
"21125","2","6","13","23","23","27","9"
"21126","5","7","14","19","23","29","5"
"21127","7","8","10","18","25","29","5"
"21128","7","8","12","17","27","29","8"
"21129","4","9","14","18","22","29","10"
"21130","1","7","8","15","21","25","5"
"21131","4","9","13","16","18","22","3"
"21132","3","12","17","20","24","26","8"
"21133","7","16","22","23","26","30","7"
"21134","6","8","11","18","19","28","1"
"21135","8","13","18","18","20","27","9"
"21136","4","10","16","17","21","27","7"
"21137","4","8","15","18","19","25","8"
"21138","5","5","11","13","15","27","9"
"21139","11","13","15","22","26","30","6"
"21140","3","6","15","17","26","29","6"
"21141","7","14","18","23","26","30","4"
"21142","8","8","16","21","27","29","12"
"21143","2","8","16","19","27","30","11"
"21144","4","10","22","22","25","32","8"
"21145","6","6","14","16","19","28","10"
"21146","4","7","14","20","25","28","9"
"21147","2","6","12","12","23","30","2"
"21148","1","12","16","17","26","32","12"
"21149","3","6","8","17","21","31","5"
"21150","3","6","15","19","23","28","9"
"21151","2","7","12","17","21","30","3"
"22002","8","11","15","18","26","27","5"
"22003","3","6","10","18","23","29","10"
"22004","5","12","16","18","25","29","5"
"22005","2","8","14","19","26","30","6"
"22006","6","14","17","20","24","30","4"
"22007","9","10","14","15","26","28","5"
"22008","8","8","9","15","24","27","7"
"22009","4","6","10","16","20","30","14"
"22010","6","10","13","18","20","27","4"
"22011","7","10","12","17","20","30","6"
"22012","14","16","16","23","23","27","7"
"22013","6","9","11","17","22","29","8"
"22014","6","12","16","25","28","30","4"
"22015","2","6","7","14","19","25","7"
"22016","2","5","10","14","19","25","13"
"22017","6","7","17","20","22","26","6"
"22018","5","10","21","22","27","31","12"
"22019","7","10","10","19","29","30","13"
"22020","4","9","13","16","22","28","13"
"22021","8","10","17","18","24","29","8"
"22022","4","13","16","22","28","31","8"
"22023","3","7","12","20","24","28","12"
"22024","6","10","18","20","22","28","4"
