"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"21002","Zero","2","0","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"21003","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21004","Zero","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21005","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21006","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21007","Zero","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21008","Sixth","2","1","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"21009","Zero","2","0","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21010","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21011","Zero","2","0","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21012","Zero","2","0","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21013","Zero","2","0","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21014","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21015","Zero","2","0","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21016","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21017","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21018","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21019","Zero","2","0","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"21020","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21021","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21022","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21023","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21024","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21025","Sixth","2","1","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"21026","Zero","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"21027","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21028","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21029","Zero","2","0","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"21030","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21031","Zero","2","0","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"21032","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21033","Sixth","0","1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21034","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21035","Sixth","1","1","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21036","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21037","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21038","Zero","3","0","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE"
"21039","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21040","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21041","Zero","2","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"21042","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21043","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21044","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21045","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21046","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21047","Zero","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"21048","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21049","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21050","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21051","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21052","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21053","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21054","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21055","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21056","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21057","Fifth","4","0","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE"
"21058","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21059","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21060","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21061","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21062","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21063","Sixth","1","1","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21064","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21065","Zero","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"21066","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21067","Zero","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"21068","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21069","Zero","2","0","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21070","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21071","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21072","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21073","Sixth","1","1","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21074","Zero","2","0","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21075","Zero","3","0","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE"
"21076","Sixth","1","1","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21077","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21078","Sixth","2","1","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"21079","Zero","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE"
"21080","Zero","2","0","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21081","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21082","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21083","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21084","Zero","2","0","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21085","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21086","Zero","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21087","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21088","Sixth","2","1","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21089","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21090","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21091","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21092","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21093","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21094","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21095","Zero","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21096","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21097","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21098","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21099","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21100","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
