"V1","V2","V3","V4","V5","V6","V7","V8"
"10002","1","9","16","17","24","29","8"
"10003","3","9","11","18","23","28","13"
"10004","3","11","14","24","26","30","10"
"10005","7","9","12","16","23","30","5"
"10006","2","10","14","16","27","31","12"
"10007","7","9","12","13","26","29","3"
"10008","4","5","14","21","25","26","3"
"10009","4","8","15","16","27","29","11"
"10010","3","9","12","14","22","31","3"
"10011","4","9","11","18","27","28","11"
"10012","4","9","17","24","25","29","10"
"10013","7","8","13","20","28","31","10"
"10014","1","6","9","15","23","26","7"
"10015","4","14","18","19","26","31","6"
"10016","6","8","12","23","28","28","8"
"10017","0","10","14","16","28","34","2"
"10018","10","11","16","21","24","28","10"
"10019","2","11","13","15","25","28","3"
"10020","5","12","16","22","27","28","15"
"10021","2","13","13","23","26","30","8"
"10022","2","12","13","15","22","22","5"
"10023","1","5","13","22","25","31","5"
"10024","6","7","13","18","21","28","6"
"10025","7","9","12","19","24","25","7"
"10026","1","3","13","19","23","29","9"
"10027","7","13","13","15","25","31","9"
"10028","9","12","18","23","26","29","5"
"10029","2","11","18","20","29","31","6"
"10030","3","10","10","19","19","28","6"
"10031","5","11","14","20","25","31","10"
"10032","11","11","13","25","28","33","7"
"10033","3","9","14","19","19","26","10"
"10034","2","8","8","16","31","32","11"
"10035","1","7","15","17","21","28","7"
"10036","7","10","14","17","19","31","10"
"10037","2","8","14","15","26","27","13"
"10038","3","4","13","25","25","30","3"
"10039","4","8","11","17","20","26","10"
"10040","6","8","15","23","24","29","13"
"10041","8","9","11","20","24","29","11"
"10042","7","13","13","24","25","30","6"
"10043","8","9","10","22","24","32","17"
"10044","4","10","15","16","27","29","9"
"10045","6","6","15","27","30","31","3"
"10046","6","15","20","21","24","30","8"
"10047","7","7","10","18","23","28","6"
"10048","3","10","12","18","23","29","9"
"10049","5","7","12","20","24","29","6"
"10050","3","11","16","19","28","28","3"
"10051","5","11","13","22","22","32","8"
"10052","3","11","15","19","27","27","12"
"10053","2","13","19","23","25","28","11"
"10054","6","9","16","20","26","28","8"
"10055","3","11","12","18","26","31","4"
"10056","1","12","17","23","24","25","12"
"10057","8","13","13","19","27","31","8"
"10058","3","9","10","18","24","27","9"
"10059","1","10","11","19","20","27","1"
"10060","6","14","15","24","27","30","12"
"10061","6","9","12","16","20","27","8"
"10062","3","6","9","15","19","29","9"
"10063","2","15","15","18","22","27","15"
"10064","7","7","13","21","22","28","7"
"10065","7","9","13","15","22","26","3"
"10066","4","10","19","20","25","29","11"
"10067","7","9","10","17","26","31","7"
"10068","4","9","18","21","22","25","9"
"10069","6","12","15","17","23","25","10"
"10070","1","14","19","22","23","29","5"
"10071","2","12","12","17","26","29","9"
"10072","4","8","17","18","25","32","9"
"10073","4","10","14","23","27","30","11"
"10074","4","12","17","18","24","29","6"
"10075","2","12","12","12","26","35","11"
"10076","3","9","13","15","19","28","13"
"10077","6","7","14","19","27","31","3"
"10078","2","7","10","15","23","26","13"
"10079","5","12","13","22","30","30","7"
"10080","2","8","13","19","23","31","6"
"10081","4","9","12","20","26","26","7"
"10082","2","10","13","21","31","31","4"
"10083","8","9","16","18","27","28","7"
"10084","6","9","20","22","28","28","12"
"10085","3","9","15","23","24","33","12"
"10086","3","10","11","24","26","28","8"
"10087","4","11","15","18","21","30","4"
"10088","2","8","13","16","25","27","11"
"10089","0","12","15","17","24","30","7"
"10090","6","8","13","19","24","26","9"
"10091","4","8","18","22","30","31","9"
"10092","9","13","14","23","24","30","6"
"10093","3","9","14","20","27","30","13"
"10094","6","7","14","17","21","27","4"
"10095","1","10","19","21","22","29","9"
"10096","5","10","13","18","22","27","9"
"10097","7","8","17","20","27","29","12"
"10098","4","12","13","21","23","29","11"
"10099","4","10","12","20","22","30","6"
"10100","2","7","9","21","27","31","8"
"10101","9","12","16","21","25","25","9"
"10102","3","10","11","19","25","26","10"
"10103","0","10","16","19","27","34","11"
"10104","4","13","18","20","29","32","11"
"10105","4","6","13","20","29","30","11"
"10106","7","9","11","21","26","34","9"
"10107","5","6","13","14","25","32","6"
"10108","6","12","16","21","22","27","11"
"10109","10","15","20","22","25","25","6"
"10110","8","8","16","20","21","30","9"
"10111","6","7","17","18","22","25","6"
"10112","7","10","12","18","25","34","11"
"10113","2","12","18","18","28","31","7"
"10114","3","10","18","19","30","31","9"
"10115","3","4","13","19","24","29","12"
"10116","4","5","6","18","26","30","8"
"10117","3","14","14","22","27","30","0"
"10118","5","12","20","22","28","30","11"
