"n","a1","a2","a3","a4","a5","a6","b1"
20002,4,14,16,18,21,28,6
20003,5,17,19,20,25,35,7
20004,6,12,12,16,23,30,2
20005,5,7,14,19,22,28,16
20006,10,18,24,26,31,32,6
20007,8,11,18,21,23,29,9
20008,3,9,13,20,25,29,8
20009,6,9,12,12,18,27,7
20010,5,9,10,18,21,22,7
20011,2,8,13,14,23,29,8
20012,3,12,16,24,28,33,11
20013,6,10,16,16,20,29,6
20014,6,10,11,22,26,29,10
20015,2,5,15,20,24,27,7
20016,9,10,11,17,22,31,16
20017,12,16,17,17,26,32,10
20018,4,8,14,15,16,22,9
20019,4,9,13,16,22,28,9
20020,4,10,12,29,32,32,8
20021,4,8,15,20,25,30,14
20022,3,9,16,16,25,29,9
20023,12,13,14,21,27,31,5
20024,6,10,15,18,25,28,10
20025,4,10,15,18,22,27,10
20026,3,7,13,18,23,29,5
20027,4,7,14,21,27,33,12
20028,3,8,18,23,24,31,13
20029,2,9,11,16,23,31,5
20030,5,5,6,10,15,20,-1
20031,6,12,14,19,23,27,11
20032,7,9,13,23,28,31,3
20033,8,18,18,25,30,30,11
20034,3,5,10,18,20,26,13
20035,9,14,16,23,27,29,10
20036,8,13,19,22,27,29,5
20037,6,10,11,15,23,30,9
20038,3,6,10,16,24,27,7
20039,1,4,12,19,23,29,11
20040,6,9,15,19,23,31,10
20041,2,9,12,16,23,27,11
20042,4,11,12,13,19,27,5
20043,10,10,15,20,23,28,5
20044,4,9,14,20,23,27,6
20045,1,7,9,16,19,25,12
20046,6,12,12,19,25,28,6
20047,3,8,16,23,25,30,6
20048,8,11,18,26,29,32,10
20049,5,10,13,20,24,30,6
20050,7,11,16,25,25,32,3
20051,3,9,16,19,26,29,6
20052,3,9,16,18,20,25,10
20053,7,10,13,20,24,31,6
20054,15,18,23,23,28,29,7
20055,4,18,21,22,24,32,5
20056,4,11,18,20,23,31,10
20057,4,13,19,20,26,31,10
20058,1,8,11,13,18,26,7
20059,3,14,15,19,24,31,8
20060,5,9,13,19,23,27,6
20061,0,7,12,15,18,24,7
20062,8,13,18,20,25,26,5
20063,3,5,16,18,21,25,9
20064,6,14,21,23,24,29,4
20065,4,10,13,16,21,29,10
20066,2,7,12,18,23,23,9
20067,5,9,17,25,26,30,6
20068,3,8,18,21,26,31,12
20069,3,8,19,26,27,32,12
20070,4,8,14,16,25,29,8
20071,1,10,12,17,18,29,13
20072,3,9,14,17,24,32,8
20073,6,9,12,18,23,29,6
20074,4,9,19,25,29,35,9
20075,3,8,16,20,27,31,8
20076,11,14,19,23,25,30,13
20077,4,5,9,10,18,29,10
20078,4,7,14,19,22,26,6
20079,3,8,14,20,21,30,3
20080,6,8,15,21,25,30,11
20081,5,11,18,19,30,31,1
20082,3,10,17,18,23,29,7
