"n","a1","a2","a3","a4","a5","a6","b1"
15002,6,11,11,18,18,28,8
15003,8,9,14,21,23,30,3
15004,9,11,20,22,28,31,10
15005,4,7,13,13,20,25,10
15006,4,7,11,16,20,27,12
15007,4,11,19,23,25,28,12
15008,4,10,16,21,22,27,7
15009,6,7,9,16,20,21,5
15010,7,8,9,24,27,30,11
15011,4,12,17,19,24,31,8
15012,3,3,5,13,16,22,10
15013,5,9,11,18,23,26,7
15014,5,10,14,20,21,24,7
15015,6,6,15,20,25,32,10
15016,5,7,12,13,24,30,7
15017,3,5,13,14,24,27,8
15018,1,5,15,22,22,30,12
15019,3,8,9,11,12,14,12
15020,5,11,17,17,20,23,12
15021,8,13,15,19,27,30,10
15022,7,13,13,19,26,28,15
15023,5,8,9,17,21,23,12
15024,4,9,14,22,22,26,1
15025,4,10,15,15,23,27,9
15026,6,12,13,13,16,31,10
15027,4,5,11,17,17,26,11
15028,4,10,14,18,22,28,14
15029,2,7,14,14,20,22,8
15030,9,12,16,17,23,29,11
15031,2,11,18,19,20,27,15
15032,8,9,14,21,24,28,9
15033,1,8,15,17,26,26,10
15034,4,8,14,18,21,27,10
15035,4,11,15,17,22,30,8
15036,7,8,18,24,27,33,4
15037,6,11,17,21,24,27,12
15038,4,4,11,20,25,30,7
15039,3,10,14,22,28,30,8
15040,2,7,11,13,18,27,8
15041,5,8,13,16,26,33,10
15042,5,13,20,23,28,29,8
15043,5,14,15,19,27,32,10
15044,3,8,12,25,26,28,14
15045,4,9,14,19,24,29,11
15046,9,13,18,21,22,30,4
15047,4,8,11,16,20,27,12
15048,2,4,16,19,25,25,12
15049,5,8,15,18,26,27,9
15050,1,12,18,24,27,29,10
15051,4,8,12,18,25,26,11
15052,4,5,13,17,20,26,10
15053,8,10,13,18,24,30,9
15054,6,12,12,15,23,30,10
15055,2,8,9,15,19,26,9
15056,4,5,10,18,22,31,9
15057,6,7,11,17,25,27,8
15058,4,8,13,20,29,30,8
15059,6,8,10,13,24,28,13
15060,8,11,16,18,20,25,5
15061,4,10,15,21,25,31,7
15062,4,6,12,18,24,29,7
15063,3,9,15,19,26,28,11
15064,4,9,14,19,25,33,6
15065,4,9,9,17,27,27,6
15066,3,13,14,20,24,25,6
15067,5,11,18,19,23,29,9
15068,5,5,9,19,20,29,6
15069,3,8,13,17,21,29,8
15070,6,12,15,19,26,27,8
15071,3,6,9,14,22,29,9
15072,4,6,10,20,27,31,12
15073,8,16,18,21,27,28,8
15074,5,7,14,21,22,31,7
15075,3,11,17,20,25,31,4
15076,1,11,14,18,20,27,14
15077,3,11,16,20,22,27,9
15078,6,12,15,20,25,30,8
15079,5,10,11,13,25,26,14
15080,3,6,10,13,20,29,4
15081,3,8,11,19,21,31,7
15082,2,10,17,22,23,27,12
15083,-2,7,9,14,21,27,8
15084,4,10,14,20,22,25,7
15085,4,6,10,15,18,28,8
15086,7,11,20,22,26,30,6
15087,3,8,12,17,25,28,9
15088,4,10,15,19,21,24,9
15089,3,7,11,16,24,30,7
15090,8,9,12,23,24,28,10
15091,5,12,16,21,25,31,8
15092,7,10,15,21,22,29,9
15093,2,8,14,21,26,31,5
15094,5,7,12,18,25,27,9
15095,4,4,10,17,26,30,12
15096,7,12,15,21,22,32,8
15097,6,7,14,18,22,27,11
15098,2,5,14,20,25,28,9
15099,7,7,18,24,27,28,11
15100,7,12,14,19,20,25,14
15101,3,7,11,14,17,26,10
15102,2,10,12,21,25,32,9
15103,7,12,17,20,24,30,9
15104,4,8,8,17,25,28,7
15105,6,10,16,25,25,30,5
15106,11,12,21,28,31,32,9
15107,0,7,14,20,25,30,9
15108,0,7,8,14,21,28,7
15109,6,9,11,15,22,27,10
15110,6,10,14,19,25,30,8
15111,6,8,14,22,26,28,4
15112,7,11,16,23,24,31,6
15113,10,12,19,24,26,32,7
15114,3,6,11,19,23,29,7
15115,6,10,12,20,26,33,9
15116,5,11,13,17,24,26,11
15117,4,8,14,16,23,25,7
15118,5,10,12,16,19,30,8
15119,9,10,11,19,26,30,11
15120,2,5,11,15,26,26,9
15121,3,8,15,21,23,29,10
15122,5,11,17,21,23,31,9
15123,5,7,15,18,25,29,10
15124,4,11,14,16,24,30,5
15125,5,5,13,14,21,27,10
15126,7,12,17,17,25,29,13
15127,5,11,14,17,18,27,10
15128,4,12,13,17,19,23,1
15129,5,10,17,20,27,29,3
15130,5,6,13,23,29,29,8
15131,7,7,13,19,22,27,8
15132,6,15,16,22,27,31,5
15133,6,12,15,22,29,32,8
15134,2,9,11,15,23,26,9
15135,4,11,15,20,23,27,8
15136,3,9,11,17,24,28,10
15137,4,9,17,19,28,29,17
15138,5,8,17,20,26,30,6
15139,1,2,10,17,23,29,8
15140,4,8,11,18,24,27,5
15141,3,9,17,20,25,29,8
15142,2,5,9,17,17,26,6
15143,4,5,13,22,26,27,8
15144,4,12,15,18,18,24,8
15145,6,8,13,15,23,30,8
15146,7,8,16,17,26,27,11
15147,5,7,13,20,25,29,12
15148,7,10,17,19,26,28,8
15149,3,8,13,20,26,31,8
15150,2,13,13,19,24,30,11
15151,3,10,16,22,23,26,7
15152,7,9,14,22,23,26,14
15153,4,7,16,22,26,30,11
15154,3,8,16,17,23,30,6
15155,3,8,17,19,25,30,6
16002,9,12,16,19,26,26,6
16003,3,6,14,18,22,22,15
16004,3,4,8,14,22,25,9
