"n","a1","a2","a3","a4","a5","a6","b1"
7002,7,11,19,25,27,31,8
7003,2,12,16,21,21,27,8
7004,4,7,17,18,19,31,4
7005,5,15,16,22,30,31,9
7006,6,11,19,22,27,32,8
7007,3,12,14,18,19,24,11
7008,5,11,15,23,31,33,12
7009,11,13,17,18,26,27,5
7010,6,10,11,18,26,31,9
7011,6,11,15,16,22,28,9
7012,6,9,14,24,24,30,12
7013,3,10,15,25,28,33,16
7014,4,9,15,19,26,29,9
7015,4,5,13,17,24,27,9
7016,4,6,12,21,25,28,8
7017,8,11,19,21,27,31,12
7018,7,7,12,15,20,29,7
7019,6,8,12,21,25,28,13
7020,5,8,14,15,24,33,10
7021,5,12,14,19,24,30,15
7022,3,11,11,22,24,29,11
7023,4,7,16,22,25,26,7
7024,2,11,16,23,29,30,4
7025,4,9,9,20,26,26,10
7026,3,12,14,18,24,28,6
7027,3,7,14,19,27,31,10
7028,4,10,13,20,25,31,11
7029,4,9,10,17,25,29,4
7030,4,10,20,21,26,33,7
7031,3,5,15,22,25,29,5
7032,4,9,13,19,23,32,10
7033,5,11,16,25,27,33,11
7034,6,9,19,25,26,30,7
7035,3,8,8,25,26,31,4
7036,1,5,15,22,24,28,10
7037,5,6,16,18,23,28,7
7038,6,11,17,20,22,29,10
7039,4,12,20,23,25,30,8
7040,2,8,10,16,25,25,6
7041,3,7,15,20,26,28,7
7042,3,4,11,13,21,29,13
7043,5,11,16,17,23,29,5
7044,3,6,18,21,23,29,6
7045,3,3,13,18,22,23,8
7046,3,6,12,14,26,30,6
7047,8,11,12,18,26,28,4
7048,3,6,12,23,26,30,9
7049,3,7,14,21,28,31,7
7050,8,8,12,20,24,29,8
7051,4,7,12,22,28,31,7
7052,2,7,13,19,23,30,10
7053,3,7,15,21,29,31,8
7054,4,8,18,19,28,28,8
7055,4,13,14,18,20,30,15
7056,4,7,19,24,29,33,9
7057,10,18,22,22,24,31,9
7058,7,15,17,18,24,28,7
7059,2,5,5,13,18,30,8
7060,3,5,12,20,26,28,4
7061,3,8,8,17,22,29,8
7062,9,14,24,26,27,32,8
7063,7,11,15,18,27,28,7
7064,2,13,18,19,21,30,6
7065,5,10,15,24,26,31,4
7066,4,11,16,23,24,29,8
7067,4,7,13,15,24,29,7
7068,4,15,16,20,28,30,8
7069,9,14,14,23,23,30,9
7070,7,12,16,19,28,31,12
7071,4,7,13,17,27,28,9
7072,6,9,13,20,23,28,11
7073,8,8,14,16,24,31,9
7074,8,9,13,23,26,28,8
7075,2,6,17,18,25,26,9
7076,3,11,20,22,26,30,10
7077,5,11,15,19,28,32,9
7078,10,10,11,20,26,26,10
7079,5,13,17,23,25,28,5
7080,3,7,11,17,21,29,11
7081,6,15,17,21,24,28,8
7082,0,3,10,15,20,29,12
7083,7,11,18,20,28,32,10
7084,3,9,17,21,27,31,7
7085,4,11,13,18,26,32,7
7086,8,13,13,13,21,25,5
7087,3,7,14,25,26,31,8
7088,2,5,15,18,19,30,9
7089,6,10,11,13,23,30,8
7090,4,11,17,25,26,31,9
7091,3,10,12,15,24,28,5
7092,6,10,14,18,25,28,10
7093,10,12,17,22,26,30,13
7094,4,12,17,23,30,33,7
7095,4,4,15,21,29,31,7
7096,5,13,17,21,23,30,11
7097,3,11,16,19,23,24,3
7098,8,12,14,22,23,27,6
7099,4,12,16,25,25,30,6
7100,4,6,17,21,26,31,6
7101,3,4,14,27,31,33,5
7102,1,10,14,23,27,30,10
7103,7,12,17,22,24,25,10
7104,0,10,15,27,28,31,2
7105,5,11,17,21,29,32,9
7106,4,12,12,22,28,31,10
7107,11,16,19,25,25,28,7
7108,3,5,17,18,22,27,9
7109,3,8,9,18,29,31,12
7110,4,14,18,20,23,33,5
7111,3,9,17,22,30,30,7
7112,5,9,14,19,24,28,4
7113,4,9,16,21,29,30,11
7114,7,19,19,24,27,31,5
7115,6,9,14,22,25,28,6
7116,5,12,16,26,26,30,11
7117,4,6,15,18,25,29,5
7118,2,7,13,20,21,29,14
7119,4,12,18,19,23,28,9
7120,2,6,7,10,19,30,11
7121,8,12,14,18,24,34,11
7122,3,7,13,20,22,27,7
7123,5,14,17,21,26,29,8
7124,6,11,11,21,27,31,9
7125,1,4,10,23,24,29,3
7126,5,9,10,17,26,28,7
7127,1,12,17,21,29,30,10
7128,3,6,10,21,27,30,6
7129,5,8,14,17,25,27,3
7130,3,10,11,20,25,25,9
7131,4,7,16,19,25,31,10
7132,3,6,13,20,25,28,5
7133,6,12,12,20,25,29,11
7134,3,8,14,23,26,32,6
7135,5,13,15,18,29,33,9
7136,6,11,16,24,29,32,10
7137,4,11,13,15,19,28,12
7138,8,12,18,26,30,32,6
7139,3,6,13,17,24,32,10
7140,6,14,18,18,24,29,9
7141,4,8,13,18,26,32,13
7142,4,10,13,17,24,27,12
7143,2,10,12,20,23,31,7
7144,3,5,7,15,22,28,8
7145,2,4,14,22,25,30,4
7146,3,6,16,16,21,30,11
7147,12,15,15,21,24,29,2
7148,6,12,13,22,25,31,5
7149,3,6,12,19,22,31,11
7150,6,7,13,15,25,32,8
7151,9,16,17,26,27,30,7
7152,3,10,15,21,23,31,12
7153,5,11,16,24,26,27,9
7154,5,9,13,23,27,34,11
8002,5,10,17,21,23,30,6
8003,3,6,14,19,24,28,6
8004,6,10,12,17,26,32,8
8005,3,5,13,16,24,28,5
8006,3,8,14,16,19,30,7
8007,3,7,9,16,24,30,10
8008,4,10,13,21,25,29,7
8009,4,10,12,16,21,29,11
8010,4,9,16,24,24,24,5
8011,3,12,14,20,22,26,8
8012,7,9,12,20,20,29,13
8013,4,8,17,21,27,29,10
8014,2,9,12,19,22,30,3
8015,6,12,18,20,27,28,4
8016,6,7,13,20,24,27,12
8017,3,7,8,19,20,29,12
8018,1,8,15,19,22,24,13
8019,5,9,15,16,22,29,3
8020,7,12,14,18,26,30,3
8021,2,9,11,17,27,31,5
8022,2,7,11,15,26,26,13
8023,6,12,19,20,26,31,5
8024,5,13,16,19,28,29,4
8025,5,9,18,20,22,28,8
8026,6,11,16,16,24,28,10
8027,5,15,20,20,25,29,11
8028,7,14,17,19,22,31,8
8029,4,12,14,15,24,30,6
8030,3,7,12,17,19,31,10
8031,6,15,16,16,26,29,7
8032,5,8,15,17,26,31,8
8033,2,3,11,11,23,28,10
8034,11,11,16,21,26,29,12
8035,2,8,15,18,25,27,7
8036,2,9,13,25,30,31,9
8037,5,6,10,25,27,29,7
8038,3,6,12,21,27,31,5
8039,6,10,14,17,24,31,9
8040,7,13,15,19,25,32,12
8041,6,7,13,19,22,26,6
8042,1,10,13,18,22,30,5
8043,4,9,18,24,24,27,3
8044,2,7,12,14,23,32,9
8045,3,7,13,13,22,27,11
8046,5,9,15,19,19,30,8
8047,2,3,12,19,21,30,11
8048,4,14,14,22,28,30,6
8049,7,8,19,25,27,29,9
8050,2,6,14,18,26,27,8
8051,6,10,18,19,21,27,8
8052,5,8,13,19,27,27,2
8053,7,12,18,19,26,30,12
8054,2,10,17,23,29,31,10
8055,6,15,16,19,22,29,8
8056,6,12,16,19,24,29,11
8057,2,11,17,21,27,27,6
8058,2,12,20,21,23,24,11
8059,2,10,12,19,28,30,5
8060,6,6,17,18,25,32,8
8061,4,9,13,25,28,31,14
8062,3,10,11,16,21,27,11
8063,4,9,9,13,24,30,5
8064,4,6,11,18,21,28,5
8065,3,4,9,16,23,28,5
8066,3,6,9,15,23,30,5
8067,3,5,10,11,22,27,9
8068,2,10,13,19,19,26,14
8069,6,12,17,22,27,29,8
8070,3,7,10,18,24,27,10
8071,3,5,15,17,27,28,8
8072,4,8,16,20,26,30,16
8073,3,12,15,19,20,30,14
8074,9,10,17,17,21,31,9
8075,10,13,17,19,24,31,11
8076,4,9,11,19,25,32,10
8077,5,11,19,20,27,33,8
8078,6,9,18,25,27,28,8
8079,2,7,15,21,26,29,8
8080,6,8,17,18,21,27,10
8081,6,10,15,21,28,31,9
8082,7,11,15,22,25,30,11
8083,3,7,17,20,22,31,6
8084,2,8,9,16,21,28,7
8085,5,6,11,21,25,26,6
8086,4,8,9,18,24,30,14
8087,3,10,11,13,17,29,4
8088,2,7,9,16,24,28,7
8089,10,13,15,21,25,30,10
8090,4,13,17,22,24,30,8
8091,10,12,16,17,21,28,8
8092,8,13,17,21,24,30,10
8093,6,9,9,14,28,30,10
8094,2,8,17,22,29,29,11
8095,4,10,13,23,23,26,11
8096,5,8,11,18,23,27,6
8097,3,6,10,15,15,22,11
8098,2,6,8,13,16,25,10
