"V1","V2","V3","V4","V5","V6","V7","V8"
"13002","3","10","13","18","21","33","9"
"13003","7","10","16","20","23","26","11"
"13004","4","10","16","18","24","29","7"
"13005","4","8","16","23","26","28","7"
"13006","4","9","15","21","28","31","7"
"13007","4","7","11","19","25","31","11"
"13008","6","9","14","17","25","30","12"
"13009","6","14","17","18","25","25","9"
"13010","3","7","16","22","27","28","8"
"13011","4","7","11","14","23","29","10"
"13012","4","8","9","22","28","29","9"
"13013","6","7","14","17","20","31","11"
"13014","5","12","21","22","24","32","8"
"13015","3","11","14","16","24","30","12"
"13016","4","10","10","17","23","27","11"
"13017","8","8","13","15","18","30","5"
"13018","3","6","16","23","23","28","12"
"13019","4","15","16","21","24","26","12"
"13020","2","7","13","25","27","31","10"
"13021","3","5","12","14","23","31","7"
"13022","3","7","11","19","21","30","7"
"13023","6","9","10","17","22","24","10"
"13024","3","10","14","24","25","29","8"
"13025","5","11","18","22","29","29","11"
"13026","5","7","19","20","23","30","9"
"13027","5","6","15","21","24","29","8"
"13028","3","7","13","23","25","30","6"
"13029","3","11","16","18","27","29","4"
"13030","2","8","16","18","25","31","10"
"13031","6","8","11","17","23","26","9"
"13032","5","12","14","21","24","29","9"
"13033","8","10","11","20","24","31","10"
"13034","8","10","13","23","27","30","14"
"13035","6","7","15","16","27","28","13"
"13036","3","12","16","17","24","31","9"
"13037","4","14","15","16","21","31","10"
"13038","5","8","12","14","23","32","7"
"13039","3","9","14","18","29","31","6"
"13040","4","9","15","17","23","29","11"
"13041","6","7","14","18","27","30","8"
"13042","3","10","14","15","21","30","11"
"13043","8","15","16","19","24","29","6"
"13044","2","3","10","20","24","28","10"
"13045","5","5","19","20","26","31","10"
"13046","3","13","16","17","21","29","5"
"13047","3","15","17","17","18","18","6"
"13048","2","15","18","18","26","30","12"
"13049","2","8","10","19","19","31","9"
"13050","4","7","13","13","22","28","8"
"13051","4","9","16","22","26","29","7"
"13052","2","8","11","16","26","26","7"
"13053","9","9","13","17","23","25","10"
"13054","5","8","15","20","25","32","8"
"13055","3","8","15","17","26","28","10"
"13056","6","9","10","25","26","31","9"
"13057","6","9","18","20","22","26","9"
"13058","5","6","14","20","25","26","5"
"13059","5","9","12","23","23","29","11"
"13060","3","8","13","15","25","30","6"
"13061","5","11","13","22","23","26","10"
"13062","7","10","16","17","20","23","8"
"13063","3","10","11","21","25","31","9"
"13064","5","9","19","20","24","29","10"
"13065","6","14","18","19","22","28","9"
"13066","3","14","19","22","23","31","9"
"13067","3","7","8","20","22","28","11"
"13068","3","5","13","16","25","32","8"
"13069","5","11","12","15","27","27","11"
"13070","4","5","9","17","24","30","4"
"13071","4","10","14","19","24","31","8"
"13072","7","8","16","17","26","29","9"
"13073","3","8","14","18","25","27","6"
"13074","9","10","14","19","27","30","12"
"13075","6","8","14","23","26","30","8"
"13076","5","9","15","16","22","26","10"
"13077","4","9","11","17","18","32","10"
"13078","5","10","19","26","26","30","6"
"13079","6","8","13","22","28","31","9"
"13080","3","11","14","20","26","29","11"
"13081","5","8","14","21","27","32","7"
"13082","10","11","18","19","28","29","6"
"13083","4","9","13","22","25","29","7"
"13084","4","14","15","17","22","26","9"
"13085","6","13","14","14","27","29","5"
"13086","4","9","10","17","19","29","8"
"13087","7","7","16","24","24","25","11"
"13088","4","10","19","23","27","31","9"
"13089","4","9","17","17","21","28","9"
"13090","5","13","13","18","28","30","7"
"13091","6","12","14","21","22","31","7"
"13092","5","11","15","20","27","27","5"
"13093","4","10","18","19","22","29","9"
"13094","3","8","13","19","24","31","12"
"13095","5","11","13","14","19","31","14"
"13096","3","7","12","20","26","28","10"
"13097","3","4","16","16","19","28","11"
"13098","5","11","16","24","24","29","10"
"13099","3","11","14","17","28","31","9"
"13100","7","10","17","19","23","29","10"
"13101","1","10","15","21","25","28","11"
"13102","4","9","16","17","26","28","9"
"13103","3","5","9","15","20","30","7"
"13104","8","8","12","23","26","27","5"
"13105","3","7","13","24","25","31","4"
"13106","5","8","16","22","30","30","7"
"13107","8","9","13","17","24","28","10"
"13108","5","10","12","20","23","28","8"
"13109","1","13","14","20","28","29","9"
"13110","5","11","14","20","26","27","9"
"13111","5","9","16","17","26","28","7"
"13112","6","6","13","18","22","26","9"
"13113","5","13","18","22","23","30","8"
"13114","6","9","14","14","24","27","7"
"13115","4","11","18","21","26","26","8"
"13116","3","11","16","19","26","28","10"
"13117","4","11","18","21","24","30","7"
"13118","2","8","12","20","23","24","10"
"13119","5","7","16","18","22","28","7"
"13120","6","14","17","19","24","29","14"
"13121","4","9","13","22","25","27","12"
"13122","9","10","10","16","19","32","11"
"13123","4","13","16","19","28","31","5"
"13124","4","5","13","21","22","29","6"
"13125","2","12","17","20","25","28","9"
"13126","5","10","14","20","23","31","6"
"13127","6","7","20","23","26","30","14"
"13128","5","10","15","22","24","30","11"
"13129","3","12","13","20","24","30","7"
"13130","6","6","8","27","27","31","8"
"13131","3","10","13","25","25","25","11"
"13132","3","10","16","16","20","30","12"
"13133","8","14","16","21","25","32","11"
"13134","4","11","15","19","27","27","7"
"13135","4","5","14","21","22","29","5"
"13136","7","14","18","20","28","29","3"
"13137","5","9","13","19","25","30","6"
"13138","3","12","14","18","24","27","12"
"13139","4","12","15","20","28","29","6"
"13140","5","11","18","20","20","29","9"
"13141","2","11","16","16","21","27","6"
"13142","5","6","11","20","27","27","9"
"13143","4","7","14","21","24","30","9"
"13144","7","10","17","18","22","30","13"
"13145","3","11","15","20","22","30","4"
"13146","4","13","22","22","24","30","8"
"13147","3","9","17","17","27","29","14"
"13148","6","11","18","20","23","26","7"
"13149","8","8","11","15","26","29","8"
"13150","5","8","11","19","25","30","5"
"13151","3","14","15","24","27","27","7"
"13152","4","9","15","22","25","25","9"
"13153","9","9","12","22","26","30","8"
"13154","1","9","9","18","20","31","4"
"13155","3","9","15","22","27","28","10"
"14002","4","7","16","20","23","30","8"
"14003","2","6","11","20","22","30","10"
"14004","4","10","12","20","21","32","10"
"14005","3","8","14","18","25","26","5"
"14006","6","9","16","20","24","25","10"
"14007","5","6","15","19","28","28","5"
"14008","4","13","14","21","24","30","7"
"14009","3","9","13","24","24","30","9"
"14010","3","12","14","17","26","33","9"
"14011","5","10","15","21","25","31","6"
"14012","3","11","17","19","23","30","11"
"14013","6","9","12","20","22","27","7"
"14014","3","14","15","22","22","30","10"
"14015","6","8","13","15","24","30","9"
"14016","5","10","13","14","20","30","11"
"14017","4","10","13","19","20","31","6"
"14018","6","6","13","20","23","32","6"
"14019","7","9","16","17","24","30","11"
"14020","2","9","15","19","23","30","7"
"14021","4","9","16","22","24","31","7"
"14022","3","8","16","17","25","29","10"
"14023","5","13","15","17","29","30","12"
"14024","5","12","12","20","26","28","9"
"14025","7","10","15","16","28","31","6"
"14026","3","13","17","20","23","28","10"
"14027","4","7","12","13","22","26","11"
"14028","6","10","14","19","24","27","9"
"14029","4","11","19","20","26","27","8"
"14030","1","7","14","16","22","28","5"
"14031","2","10","13","22","29","31","8"
"14032","4","12","13","19","24","31","9"
"14033","4","4","15","15","23","31","8"
"14034","6","15","21","22","28","30","8"
"14035","4","10","17","23","24","30","8"
"14036","6","8","14","21","27","30","11"
"14037","2","6","10","17","22","28","5"
"14038","4","12","16","22","25","30","12"
"14039","3","11","15","15","26","29","9"
"14040","2","10","10","16","22","24","7"
"14041","3","6","14","20","24","30","10"
"14042","5","8","17","17","24","31","11"
"14043","2","9","16","23","23","30","10"
"14044","4","8","15","20","27","28","9"
"14045","5","13","16","22","22","30","7"
"14046","2","10","14","16","26","29","10"
"14047","3","7","10","20","26","27","10"
"14048","3","13","14","15","23","33","7"
"14049","3","9","16","21","24","25","13"
"14050","9","11","15","17","23","30","8"
"14051","2","10","13","18","21","28","13"
"14052","2","12","16","23","24","30","12"
"14053","3","11","15","20","21","29","8"
"14054","5","9","14","17","26","28","8"
"14055","6","9","15","19","28","30","10"
"14056","5","15","17","21","23","30","7"
"14057","3","12","15","22","23","30","8"
"14058","8","10","16","20","25","28","9"
"14059","8","12","14","21","22","29","5"
"14060","5","9","11","16","24","28","9"
"14061","2","8","17","23","27","30","7"
"14062","5","13","14","19","26","29","9"
"14063","5","6","16","21","25","26","11"
"14064","5","13","15","21","23","29","8"
"14065","5","9","13","19","19","31","4"
"14066","7","9","11","18","19","27","9"
"14067","3","11","13","15","24","31","11"
"14068","7","8","15","21","24","31","12"
"14069","6","6","14","21","22","28","7"
"14070","7","13","16","23","25","29","7"
"14071","9","10","12","20","23","30","9"
"14072","6","8","11","20","23","31","7"
"14073","7","9","18","20","21","27","11"
"14074","2","7","9","23","25","29","2"
"14075","4","9","15","18","23","31","13"
"14076","3","9","16","21","25","28","10"
"14077","7","13","14","22","23","28","8"
"14078","4","7","10","19","28","29","8"
"14079","5","6","14","15","25","29","8"
"14080","8","9","15","18","27","30","12"
"14081","3","9","14","15","29","32","11"
"14082","4","11","11","21","25","27","9"
"14083","4","9","16","19","23","29","10"
"14084","4","7","13","20","25","28","6"
"14085","7","7","8","12","22","28","10"
"14086","2","9","11","16","27","29","9"
"14087","6","9","10","18","24","29","10"
"14088","2","10","14","21","24","30","4"
"14089","5","7","15","19","20","27","11"
"14090","7","9","13","18","22","31","7"
"14091","4","8","15","20","24","30","9"
"14092","5","10","12","24","27","27","7"
"14093","5","9","16","19","26","28","8"
"14094","5","7","15","20","21","30","5"
"14095","2","7","19","20","26","32","12"
"14096","2","11","15","20","21","31","11"
"14097","3","4","19","19","25","30","9"
"14098","0","10","11","16","25","29","9"
"14099","2","6","12","21","22","27","10"
"14100","4","8","10","20","20","31","10"
"14101","5","8","13","17","24","24","11"
"14102","6","11","11","19","24","29","10"
"14103","3","11","14","22","26","26","12"
"14104","3","6","8","14","25","28","7"
"14105","8","9","14","16","28","29","10"
"14106","5","10","13","17","22","29","11"
"14107","5","7","13","21","25","27","10"
"14108","5","10","15","20","27","28","7"
"14109","6","10","13","18","25","31","8"
"14110","6","9","14","23","24","29","9"
"14111","6","7","12","20","22","29","8"
"14112","6","9","13","18","26","28","8"
"14113","3","5","14","15","25","30","10"
"14114","3","11","12","17","19","28","14"
"14115","5","11","14","24","29","32","8"
"14116","4","7","14","17","22","30","7"
"14117","3","4","16","22","23","29","8"
"14118","5","11","16","22","24","28","9"
"14119","7","8","15","19","24","28","10"
"14120","7","9","16","19","25","30","8"
"14121","3","9","13","19","19","29","11"
"14122","4","9","15","17","26","29","5"
"14123","2","10","14","19","26","31","10"
"14124","3","12","13","20","22","28","12"
"14125","7","12","15","20","22","30","9"
"14126","5","9","15","17","18","31","9"
"14127","6","15","15","16","22","31","9"
"14128","5","9","15","19","22","27","10"
"14129","6","10","13","17","24","29","9"
"14130","7","8","10","17","25","29","10"
"14131","7","7","13","20","25","28","7"
"14132","3","9","12","19","22","25","9"
"14133","4","9","14","20","22","28","8"
"14134","3","6","9","16","21","28","10"
